Date,EPAC,IWF,IWM,MTUM,SPY,VLUE,VXX
2019-09-05,1.0,-0.0,-0.7324485239394691,-0.0,-0.6754527412552717,-0.6930972463408583,0.0
2019-09-06,1.0,-0.0,-0.7362198583772654,-0.0,-0.670087656362105,-0.713135976541785,0.0
2019-09-09,1.0,-0.0,-0.7210591900311526,-0.0,-0.6687227414330218,-0.7254517133956386,0.0
2019-09-10,1.0,-0.0,-0.7261518291921589,-0.0,-0.6413722062679487,-0.7539642901735548,0.0
2019-09-11,1.0,-0.0,-0.7341649167894192,-0.0,-0.6007772589087034,-0.7991663271382454,0.0
2019-09-12,1.0,-0.0,-0.6958096699923254,-0.0,-0.5756561780506524,-0.798342287029931,0.0
2019-09-13,1.0,-0.0,-0.6969036732439317,-0.0,-0.5719458679841655,-0.7998588394144904,0.0
2019-09-16,1.0,-0.0,-0.6979620649438341,-0.0,-0.5707138911055184,-0.8005033454054385,0.0
2019-09-17,1.0,-0.0,-0.7018932768725643,-0.0,-0.568780876983031,-0.7978458989229494,0.0
2019-09-18,1.0,-0.0,-0.7130988645804487,-0.0,-0.5563863503492416,-0.8075633096402967,0.0
2019-09-19,1.0,-0.0,-0.7232939288249637,-0.0,-0.5436278897496837,-0.819593197320905,0.0
2019-09-20,1.0,-0.0,-0.7360158229804068,-0.0,-0.5431423450151431,-0.8112676926880525,0.0
2019-09-23,1.0,-0.0,-0.73769630270805,-0.0,-0.541362680845802,-0.8123531593916162,0.0
2019-09-24,1.0,-0.0,-0.7365115703502041,-0.0,-0.5433114713525553,-0.8138534834797674,0.0
2019-09-25,1.0,-0.0,-0.7262326929600049,-0.0,-0.5551512535076628,-0.8022757408492398,0.0
2019-09-26,1.0,-0.0,-0.7274781047875468,-0.0,-0.5609507009562715,-0.8063008696190388,0.0
2019-09-27,1.0,-0.0,-0.7788056360284435,-0.0,-0.6600605741374771,-0.8532393995259416,0.0
2019-09-30,1.0,-0.0,-0.7479357949666424,-0.0,-0.6828390250346786,-0.8719532333707644,0.0
2019-10-01,1.0,-0.0,-0.7500330294622805,-0.0,-0.6828180737217598,-0.8700951248513675,0.0
2019-10-02,1.0,-0.0,-0.7739721485411141,-0.0,-0.6940318302387268,-0.8476458885941645,0.0
2019-10-03,1.0,-0.0,-0.7861608176495882,-0.0,-0.6847153772367942,-0.8367677703172031,0.0
2019-10-04,1.0,-0.0,-0.7822183801037371,-0.0,-0.7054129538502459,-0.8372788934698762,0.0
2019-10-07,1.0,-0.0,-0.7715017121579839,-0.0,-0.710030253665348,-0.8430466438378936,0.0
2019-10-08,1.0,-0.0,-0.7589550498150679,-0.0,-0.7270667421945287,-0.846089767085402,0.0
2019-10-09,1.0,-0.0,-0.7627084856136619,-0.0,-0.7220081068509535,-0.8377633065319954,0.0
2019-10-10,1.0,-0.0,-0.7886495749470784,-0.0,-0.7178186216860992,-0.8536339504720943,0.0
2019-10-11,1.0,-0.0,-0.8020907098297083,-0.0,-0.7176867307368067,-0.8523689091215647,0.0
2019-10-14,1.0,-0.0,-0.787588772404464,-0.0,-0.751166723030098,-0.8430503889076767,0.0
2019-10-15,1.0,-0.0,-0.7878982615166069,-0.0,-0.75285801258202,-0.8415071365757966,0.0
2019-10-16,1.0,-0.0,-0.7913703176861071,-0.0,-0.7535053850843324,-0.8419359208832893,0.0
2019-10-17,1.0,-0.0,-0.7806177868295996,-0.0,-0.7700950441276307,-0.8437542430414122,0.0
2019-10-18,1.0,-0.0,-0.7946434640745021,-0.0,-0.763442322071919,-0.8407314254639386,0.0
2019-10-21,1.0,-0.0,-0.7743877551020409,-0.0,-0.7634013605442177,-0.8635714285714287,0.0
2019-10-22,1.0,-0.0,-0.7733210859359054,-0.0,-0.7638633734775805,-0.864836361162142,0.0
2019-10-23,1.0,-0.0,-0.7745513755554801,-0.0,-0.7401200854845823,-0.8775738661419994,0.0
2019-10-24,1.0,-0.0,-0.7709371373967647,-0.0,-0.7680704388778923,-0.8737287557163335,0.0
2019-10-25,1.0,-0.0,-0.7710202271719481,-0.0,-0.7672340280383395,-0.8727700651499131,0.0
2019-10-28,1.0,-0.0,-0.7849895808424145,-0.0,-0.7604960202234141,-0.8706316400778874,0.0
2019-10-29,1.0,-0.0,-0.7854249622408348,-0.0,-0.775092681587258,-0.8721337360977619,0.0
2019-10-30,1.0,-0.0,-0.7891322257311547,-0.0,-0.7735479884662912,-0.8699368392146093,0.0
2019-10-31,1.0,-0.0,-0.7838729634976285,-0.0,-0.776311266927889,-0.8769505740015123,0.0
2019-11-01,1.0,-0.0,-0.7779340629181103,-0.0,-0.7751209303921232,-0.8775601221311194,0.0
2019-11-04,1.0,-0.0,-0.7767952013710369,-0.0,-0.7745329905741216,-0.876229648671808,0.0
2019-11-05,1.0,-0.0,-0.7876846781692324,-0.008403071942693803,-0.7806247201845921,-0.8671694734304508,0.0
2019-11-06,1.0,-0.0,-0.772371248353781,-0.017501906148194357,-0.7723365911138836,-0.9035142441255978,0.0
2019-11-07,1.0,-0.0,-0.7868256003326518,-0.016251429363456804,-0.7639557850237361,-0.8980907169340587,0.0
2019-11-08,1.0,-0.0,-0.7806278713629402,-0.015453153278574413,-0.7741194486983154,-0.9102394542670192,0.0
2019-11-11,1.0,-0.0,-0.7698171264729535,-0.04014126368054827,-0.7680688135948809,-0.9185635861393754,0.0
2019-11-12,1.0,-0.0,-0.7610065094141527,-0.03835654791068804,-0.7766501014908659,-0.9236368726814587,0.0
2019-11-13,1.0,-0.0,-0.7708982714650042,-0.10601445168603002,-0.7454307169169736,-0.9197364692547464,0.0
2019-11-14,1.0,-0.0,-0.774054860716316,-0.0869457077885162,-0.7539795338260374,-0.9381750994883455,0.0
2019-11-15,1.0,-0.0,-0.7757358168633585,-0.0886890373951372,-0.7509597611261197,-0.9392506753874591,0.0
2019-11-18,1.0,-0.0,-0.777667176223826,-0.09225354616232359,-0.7499022361264176,-0.9352269899392088,0.0
2019-11-19,1.0,-0.0,-0.7912859651008636,-0.08441721308538465,-0.764090436776667,-0.9433157762728869,0.0
2019-11-20,1.0,-0.0,-0.7899376478176737,-0.08367376191500037,-0.7644950906615066,-0.9453522539955566,0.0
2019-11-21,1.0,-0.0,-0.7731427742309925,-0.13116656993615786,-0.7522489843296577,-0.9708357515960534,0.0
2019-11-22,1.0,-0.0,-0.7733405875952122,-0.138411316648531,-0.7530649256438158,-0.9623141095393544,0.0
2019-11-25,1.0,-0.0,-0.773493888506039,-0.1391679663414457,-0.7533640419281129,-0.9609734866345073,0.0
2019-11-26,1.0,-0.0,-0.7476073085846868,-0.1417488399071926,-0.7648999419953597,-0.9710339327146171,0.0
2019-11-27,1.0,-0.0,-0.770169909067855,-0.13947759301525198,-0.752200847733942,-0.9609462739557294,0.0
2019-11-29,1.0,-0.0,-0.770853097861782,-0.17204261840472887,-0.773261329635846,-0.932642487046632,0.0
2019-12-02,1.0,-0.0,-0.7889884669066334,-0.22239770807316536,-0.7448027620656724,-0.9167707338573422,0.0
2019-12-03,1.0,-0.0,-0.7864983534577388,-0.20329308452250275,-0.7494694474935969,-0.9197585071350164,0.0
2019-12-04,1.0,-0.0,-0.8022256500661084,-0.20232848538269427,-0.748788012340238,-0.9193477302776553,0.0
2019-12-05,1.0,-0.0,-0.8318618042226487,-0.10141336590472866,-0.724899668469726,-0.8316175187576339,0.0
2019-12-06,1.0,-0.0,-0.8439375329005089,-0.11208984032286368,-0.7327601333567293,-0.8206001052816284,0.0
2019-12-09,1.0,-0.0,-0.8113247939486923,-0.13875905376957934,-0.7733614015056909,-0.844507082456203,0.0
2019-12-10,1.0,-0.0,-0.8107661699012726,-0.2457299448177484,-0.8672998235669507,-0.8300611884830511,0.0
2019-12-11,1.0,-0.0,-0.8085058421309689,-0.2484878085434121,-0.86801668106849,-0.8319495059548409,0.0
2019-12-12,1.0,-0.0,-0.8000907132327928,-0.2590618739842008,-0.8782552821559512,-0.8423101636617907,0.0
2019-12-13,1.0,-0.0,-0.7991976990614594,-0.2619966696942174,-0.8795413260672117,-0.8437026945201332,0.0
2019-12-16,1.0,-0.0,-0.795292331055429,-0.27118451025056944,-0.8897873955960516,-0.8402429764616551,0.0
2019-12-17,1.0,-0.0,-0.7766191634804773,-0.32584096087745723,-0.9273935040358399,-0.832232649750898,0.0
2019-12-18,1.0,-0.0,-0.7915720715338351,-0.38077030310272036,-0.9575417214322699,-0.853029035727088,0.0
2019-12-19,1.0,-0.0,-0.8007899776571976,-0.3854133418448772,-0.9502872646026174,-0.8532955633578041,0.0
2019-12-20,1.0,-0.0,-0.8178801327415937,-0.3941865579145176,-0.9463436088121228,-0.8397904921834393,0.0
2019-12-23,1.0,-0.0,-0.8151216778738393,-0.3984950368235671,-0.9445645212936279,-0.8443804034582133,0.0
2019-12-24,1.0,-0.0,-0.8186145108391327,-0.39628829693624507,-0.9428045756339493,-0.8419726421886249,0.0
2019-12-26,1.0,-0.0,-0.8146487892735642,-0.3960776465879528,-0.9448869321592956,-0.8467880728437063,0.0
2019-12-27,1.0,-0.0,-0.8283030984106599,-0.4094557713918767,-0.930566704125863,-0.8451998715684701,0.0
2019-12-30,1.0,-0.0,-0.8337563963092792,-0.43104073492082684,-0.9456867722309521,-0.8186872960232081,0.0
2019-12-31,1.0,-0.0,-0.8411587205793604,-0.42587004626835645,-0.9422651377992356,-0.8140414403540536,0.0
2020-01-02,1.0,-0.0,-0.8424142506735293,-0.4247858780007238,-0.9427399573766536,-0.8110901121878644,0.0
2020-01-03,1.0,-0.0,-0.8356114672795452,-0.42691826942461997,-0.9423813555905004,-0.8271843877263013,0.0
2020-01-06,1.0,-0.0,-0.845150840251063,-0.4417493419720591,-0.9382061145980968,-0.8243369103057299,0.0
2020-01-07,1.0,-0.0,-0.8406484295845998,-0.4491185410334347,-0.9304559270516717,-0.8324620060790274,0.0
2020-01-08,1.0,-0.0,-0.8441089329924104,-0.45042412435569623,-0.9361175372377125,-0.8279962660822273,0.0
2020-01-09,1.0,-0.0,-0.8529125030465512,-0.44735559346819403,-0.9319197335283126,-0.8299211958729384,0.0
2020-01-10,1.0,-0.0,-0.854428577240734,-0.45331380446722813,-0.9296553968835185,-0.8311159933276373,0.0
2020-01-13,1.0,-0.0,-0.8566952842088131,-0.4576636692842902,-0.9272490539935713,-0.827196159010457,0.0
2020-01-14,1.0,-0.0,-0.8508153732688684,-0.48590510530197495,-0.9443579447676801,-0.8162746865524871,0.0
2020-01-15,1.0,-0.0,-0.8486193293885602,-0.493302103879027,-0.9552925706771861,-0.8119247205785667,0.0
2020-01-16,1.0,-0.0,-0.8433007475560667,-0.4868972315780826,-0.9569539144007229,-0.8203400969358416,0.0
2020-01-17,1.0,-0.0,-0.8416735028712059,-0.4794093519278097,-0.9644380639868746,-0.8162018047579984,0.0
