Date,HVT,IWF,IWM,MTUM,SPY,VLUE,VXX
2020-06-16,1.0,-0.20976096692386553,-0.6520261155776184,-0.2947445097933416,-0.42945016996708574,-0.11190848756272596,0.0
2020-06-17,1.0,-0.20823675273570155,-0.6499649614576033,-0.2949167160799957,-0.4288448062099078,-0.11330925556573769,0.0
2020-06-18,1.0,-0.2068742418115649,-0.652163364334816,-0.29359751988138566,-0.4287100687424181,-0.11440894999326054,0.0
2020-06-19,1.0,-0.20731377950629287,-0.6518932641927295,-0.29546804947874467,-0.430103170744882,-0.11605358396802248,0.0
2020-06-22,1.0,-0.2102489256466391,-0.652396010702992,-0.2894132273845239,-0.4348225627719668,-0.11589502418984297,0.0
2020-06-23,1.0,-0.21168613454466795,-0.6541747782825005,-0.2898550724637681,-0.4350259571706684,-0.11313000216309756,0.0
2020-06-24,1.0,-0.20807730828573748,-0.6535202880112606,-0.29461603010042503,-0.4343448014508838,-0.1163413907912189,0.0
2020-06-25,1.0,-0.20506035157832203,-0.6516890341047175,-0.29981367969108635,-0.4335592579591176,-0.11022601463559528,0.0
2020-06-26,1.0,-0.20580211231463222,-0.6480105885848573,-0.29834418303125254,-0.43561762243051244,-0.11339510007833394,0.0
2020-06-29,1.0,-0.20095448662640208,-0.6430381794650561,-0.30325172562553926,-0.43154119930974977,-0.11753127696289904,0.0
2020-06-30,1.0,-0.20105135463000404,-0.6429168351529856,-0.3034640787168082,-0.43108235611268364,-0.11726647796198948,0.0
2020-07-01,1.0,-0.19866354107725057,-0.6439522539271954,-0.29757766820251663,-0.4384986392908145,-0.11578153207770862,0.0
2020-07-02,1.0,-0.18934719939650294,-0.650483605894873,-0.2930193711776275,-0.43408680658458393,-0.12724627529164534,0.0
2020-07-06,1.0,-0.19430512861996438,-0.6508385913821927,-0.29159251469557246,-0.4352316237933452,-0.12446745402577791,0.0
2020-07-07,1.0,-0.19350925900967683,-0.6516078600501362,-0.2912207876223079,-0.4348634734089868,-0.12428906439526671,0.0
2020-07-08,1.0,-0.19507397127381498,-0.6477943356059177,-0.2969360532485381,-0.43733326147295803,-0.11762645180414456,0.0
2020-07-09,1.0,-0.19165499407391445,-0.6462935028552957,-0.29625040405128755,-0.4380724059907337,-0.12140394354056674,0.0
2020-07-10,1.0,-0.17797552836484987,-0.6612767573726906,-0.28305162918147536,-0.4492525570416995,-0.14148511896687377,0.0
2020-07-13,1.0,-0.19182808552256245,-0.6621750115460894,-0.28517482137520717,-0.4516015105001494,-0.1259474585019968,0.0
2020-07-14,1.0,-0.18665364053298597,-0.6587967109012457,-0.28144590083855736,-0.45577898993188415,-0.13110260794051398,0.0
2020-07-15,1.0,-0.18803858869437967,-0.6579589182158148,-0.27806080971221075,-0.4542301230285621,-0.13159178364316296,0.0
2020-07-16,1.0,-0.19216589861751152,-0.6497424776362157,-0.2800759013282732,-0.45581458389807533,-0.13296286256438059,0.0
2020-07-17,1.0,-0.19741627313683982,-0.6522010530315366,-0.2816587960701297,-0.4542962601096456,-0.12845356348043205,0.0
2020-07-20,1.0,-0.2097442608648236,-0.6479633567806314,-0.282948906701565,-0.45689514150171767,-0.12890561099296582,0.0
2020-07-21,1.0,-0.18744886270659467,-0.6550210003818251,-0.27355042818960346,-0.46609938362515685,-0.1452299132711504,0.0
2020-07-22,1.0,-0.16531529063715555,-0.672985262696543,-0.26127211965156416,-0.48334520352818716,-0.15635785898208512,0.0
2020-07-23,1.0,-0.16834046756667764,-0.6777796070683789,-0.2636099220722204,-0.4845790802326858,-0.14962682471737462,0.0
2020-07-24,1.0,-0.16170061127710314,-0.6807105068391766,-0.26093034730407605,-0.4832378498396425,-0.15454620213261697,0.0
2020-07-27,1.0,-0.15760825191192882,-0.6810004626731623,-0.2546335356394416,-0.4752469858204284,-0.15311760063141278,0.0
2020-07-28,1.0,-0.15371217069453516,-0.6766819072501633,-0.2500544306553451,-0.4799967341606793,-0.16106030916612238,0.0
2020-07-29,1.0,-0.15984714071243347,-0.6696055684454756,-0.25101678722533094,-0.48022382967107957,-0.16893680906237205,0.0
2020-07-30,1.0,-0.159376790635488,-0.6704412125842452,-0.2524216213266392,-0.4820595377772927,-0.16431553384812683,0.0
2020-07-31,1.0,-0.16861148307053261,-0.6702648047440768,-0.2544202443090209,-0.48151285765037033,-0.15795370699314076,0.0
2020-08-03,1.0,-0.16532313157535183,-0.6718950676321902,-0.25574532039896164,-0.4795463861183222,-0.16010383932231181,0.0
2020-08-04,1.0,-0.16388919243798494,-0.667468036280188,-0.2543984264014862,-0.48221505846355595,-0.16394383127527049,0.0
2020-08-05,1.0,-0.16526847930045088,-0.666839732203853,-0.25448831807623995,-0.48271621806257686,-0.16330099740401693,0.0
2020-08-06,1.0,-0.16708964388047481,-0.6698048847045982,-0.252749351889753,-0.47987447127848276,-0.15936689862191294,0.0
2020-08-07,1.0,-0.1757408117434409,-0.6684559347099742,-0.25409431998685433,-0.48124007230103516,-0.15914443774990414,0.0
2020-08-10,1.0,-0.16159591410840793,-0.6807348014717997,-0.25031577791202153,-0.48550167499588115,-0.16774671865560986,0.0
2020-08-11,1.0,-0.153431291618513,-0.6794342633867151,-0.2429970832645424,-0.4891310329646139,-0.1866710692862253,0.0
2020-08-12,1.0,-0.15543013606772652,-0.678187253778883,-0.22497275851471038,-0.5242099969266016,-0.2111983459528932,0.0
2020-08-13,1.0,-0.15972085984137216,-0.6771671197556122,-0.2326728510972226,-0.5255458086937025,-0.20750539502816623,0.0
2020-08-14,1.0,-0.1569011875420121,-0.6750504145193815,-0.2312906116961685,-0.5248431548285906,-0.21269325565762937,0.0
2020-08-17,1.0,-0.15493392441289525,-0.6702393311074325,-0.23327067141774924,-0.5259672848685503,-0.221374259981482,0.0
