Date,INS,IWF,IWM,MTUM,SPY,VLUE,VXX
2020-02-21,1.0,-1.2409659485753994,-1.3763029881862405,-6.8992355802640715,-4.833912439193885,-2.023106323835997,0.0
2020-02-24,1.0,-0.9959958217270195,-1.3591573816155988,-7.087395543175488,-4.951949860724235,-2.0149721448467965,0.0
2020-02-25,1.0,-0.856330014224751,-1.4833254306938517,-6.51319740793425,-4.244665718349928,-1.707760391970918,0.0
2020-02-26,1.0,-0.8517066085693537,-1.2820624546114743,-6.018881626724764,-3.9452432824981845,-1.4265795206971679,0.0
2020-02-27,1.0,-0.9099859353023909,-1.2360056258790437,-5.759634317862166,-3.8157524613220817,-1.3433192686357243,0.0
2020-02-28,1.0,-0.7616392167034107,-1.5171832447153417,-5.2041239787316815,-3.287641032291532,-1.19776942030865,0.0
2020-03-02,1.0,-0.8679906542056075,-1.416017653167186,-5.1509605399792315,-3.3351505711318796,-1.2100207684319835,0.0
2020-03-03,1.0,-0.7280828516377649,-1.6620905587668593,-4.5492533718689785,-3.0215558766859347,-1.0814065510597304,0.0
2020-03-04,1.0,-0.5475883112310762,-1.782654618002582,-4.5996948714939565,-2.8630442436333765,-0.9427297265579158,0.0
2020-03-05,1.0,-0.48961859625366727,-2.0953509365831637,-4.230647709320695,-2.6438727149627623,-0.8246445497630333,0.0
2020-03-06,1.0,-0.512369066191219,-2.3009806106529975,-4.114218854468464,-2.5005571651437486,-0.715177178515712,0.0
2020-03-09,1.0,-0.4977930885994187,-2.1496393583808806,-3.9858972978792124,-2.413930455377328,-0.7180536117989019,0.0
2020-03-10,1.0,-1.1804956896551724,-1.2462284482758619,-3.218480603448276,-1.955639367816092,-0.37904094827586204,0.0
2020-03-11,1.0,-0.9339443195573233,-1.5669202835898324,-3.2271312467577387,-1.736901262320595,-0.18113435932906796,0.0
2020-03-12,1.0,-1.0227106227106226,-1.2815628815628815,-2.991290191290191,-1.7194953194953195,-0.12494912494912495,0.0
2020-03-13,1.0,-1.1612284069097887,-0.8812037290924046,-2.371675349602413,-1.4407732382780367,-0.0,0.0
2020-03-16,1.0,-0.8744656776464672,-1.0762509429218003,-2.1708574302237866,-1.1645712848881067,-0.0,0.0
2020-03-17,1.0,-0.9093842430760957,-0.7835977413283141,-1.444312987362194,-1.2104329120731379,-0.03006184458187685,0.0
2020-03-18,1.0,-0.8750324894734106,-0.8041794458595415,-1.3082601237199147,-1.1658782554452356,-0.0449654312002911,0.0
2020-03-19,1.0,-0.9368291934989267,-0.5850965961361545,-1.2908105897986304,-1.1812327506899725,-0.11693754472043341,0.0
2020-03-20,1.0,-0.9381591071977066,-0.6176922289341661,-1.281867513054162,-1.1811200982901606,-0.10038906521961706,0.0
2020-03-23,1.0,-0.9299763569596057,-0.6839378238341969,-1.1789325418783643,-1.1533276321746566,-0.08420946727702602,0.0
2020-03-24,1.0,-0.9592851046739294,-0.7147447161002058,-1.1131080877554094,-1.1328881971986544,-0.10025603694964608,0.0
2020-03-25,1.0,-0.9655923138813952,-0.718443844952435,-0.8965403000615267,-1.1120734535472574,-0.04018174073548204,0.0
2020-03-26,1.0,-0.9707491979618795,-0.7167390073598792,-0.8874787695791658,-1.1044536705038686,-0.038450651066238906,0.0
2020-03-27,1.0,-0.9658651188501934,-0.6941219826791967,-0.8333333333333334,-1.101345126220748,-0.011977151280633867,0.0
2020-03-30,1.0,-0.9418268569069138,-0.676056338028169,-0.8681469927054183,-1.101757122539799,-0.0,0.0
2020-03-31,1.0,-0.923227718258491,-0.6930476407567814,-0.8564850695235925,-1.0861636653749716,-0.0,0.0
2020-04-01,1.0,-0.9271013568891723,-0.7134596120571897,-0.8268372643657226,-1.0859211365085146,-0.0,0.0
2020-04-02,1.0,-0.9692556634304207,-0.5968626393383675,-0.8115785688601223,-1.117089176555196,-0.0,0.0
