Date,IAA,IWF,IWM,MTUM,SPY,VLUE,VXX
2020-07-10,1.0,-0.25140544187092423,-0.46036653923993703,-0.4115695974814481,-0.544861704519901,-0.14270856757364514,0.0
2020-07-13,1.0,-0.2518830803822372,-0.4598088813940416,-0.4116919617762788,-0.5448566610455312,-0.14235525576166386,0.0
2020-07-14,1.0,-0.24358542473752176,-0.4602212116108023,-0.407332547302229,-0.5491550165627983,-0.1469878165178822,0.0
2020-07-15,1.0,-0.2482512571284097,-0.4543079472989297,-0.4094165238643706,-0.5490069387869764,-0.1482709217068854,0.0
2020-07-16,1.0,-0.2419191350377295,-0.47496902804369867,-0.40083342718774634,-0.5462608401847054,-0.15164996058114652,0.0
2020-07-17,1.0,-0.24442567567567564,-0.4763795045045045,-0.4017454954954955,-0.541920045045045,-0.1508445945945946,0.0
2020-07-20,1.0,-0.25565821819106554,-0.47500777033709135,-0.4035489248679043,-0.5418891808651918,-0.14947302986635022,0.0
2020-07-21,1.0,-0.24103085217489487,-0.48025517260846257,-0.39523527253224944,-0.5452620882377848,-0.160894233211957,0.0
2020-07-22,1.0,-0.24423234405444327,-0.47796007116030836,-0.39750938920735324,-0.5446022647050518,-0.15948945302572504,0.0
2020-07-23,1.0,-0.248926432365239,-0.4828511696236863,-0.39792631935811956,-0.5442705390439597,-0.1512035258221268,0.0
2020-07-24,1.0,-0.22364857239589211,-0.4941033743369823,-0.3932400406274687,-0.5450005642703984,-0.16533122672384606,0.0
2020-07-27,1.0,-0.224161755167649,-0.49330250133949977,-0.39268492146301576,-0.5428780914243817,-0.1670003665999267,0.0
2020-07-28,1.0,-0.21686408012829528,-0.49188307120952085,-0.38792448583406014,-0.5428354387643136,-0.17401457389640718,0.0
2020-07-29,1.0,-0.22277702550214398,-0.48400473933649285,-0.3856635071090047,-0.5425976077634845,-0.18599074700970436,0.0
2020-07-30,1.0,-0.24561150248296573,-0.5117219078415521,-0.40284674904723405,-0.5710243677098973,-0.15593602032567272,0.0
2020-07-31,1.0,-0.2416479141422884,-0.5179158732906354,-0.40055392072009693,-0.5673071374992789,-0.15760775489008136,0.0
2020-08-03,1.0,-0.22824425279067756,-0.5270126049208227,-0.40629957599007765,-0.5606449565894603,-0.1622486947993885,0.0
2020-08-04,1.0,-0.2210828665804969,-0.519833405141462,-0.3992244722102542,-0.5597587246876347,-0.172425678586816,0.0
2020-08-05,1.0,-0.21809504643072766,-0.5218641290285484,-0.40042549521317883,-0.5604174453037404,-0.17416554063766784,0.0
2020-08-06,1.0,-0.2177950265919218,-0.5213741555268075,-0.4004312203536007,-0.5602414833980164,-0.1749604714675866,0.0
2020-08-07,1.0,-0.22352229170869478,-0.5216865039338309,-0.40122193723162053,-0.5577105968471714,-0.17778610334591774,0.0
2020-08-10,1.0,-0.2191986163159412,-0.5255981550879216,-0.40025944076102626,-0.558114730469876,-0.17950417987892764,0.0
2020-08-11,1.0,-0.22077098290228642,-0.5270305336908572,-0.4001383963324971,-0.5572182337168065,-0.17809878038231985,0.0
2020-08-12,1.0,-0.2220556004152728,-0.5269350559464759,-0.40278578844157337,-0.557647940938978,-0.17441458068981427,0.0
2020-08-13,1.0,-0.2191165028960032,-0.5318272195487422,-0.39454802178486004,-0.5567530184710255,-0.17935048843039506,0.0
2020-08-14,1.0,-0.22145697654313873,-0.5337156359863985,-0.3955391620079534,-0.5564520776900467,-0.1745144372082301,0.0
2020-08-17,1.0,-0.22026812743260774,-0.5312671183508721,-0.3959060112440536,-0.5559752054202105,-0.17967421075392823,0.0
2020-08-18,1.0,-0.21290229885057474,-0.5237068965517242,-0.3977586206896552,-0.5494540229885058,-0.18971264367816093,0.0
2020-08-19,1.0,-0.2113076437144662,-0.5236030551886521,-0.3984092344799862,-0.5491012461953713,-0.18896801240452532,0.0
2020-08-20,1.0,-0.2119967840119451,-0.5251823350370413,-0.3985815195543559,-0.5491299603744328,-0.18655602136334923,0.0
2020-08-21,1.0,-0.2153567735263702,-0.5233827415833621,-0.4049465701482248,-0.5492646213949213,-0.17962196943582673,0.0
2020-08-24,1.0,-0.20592516482575562,-0.5285840682706853,-0.3782572708850644,-0.5412278448497302,-0.20013128977937608,0.0
2020-08-25,1.0,-0.2045181927229108,-0.5344148055063689,-0.3693094190895071,-0.542840006854401,-0.20497515279602443,0.0
2020-08-26,1.0,-0.2037756326041012,-0.5344433655109384,-0.36988061918089904,-0.5430113668818187,-0.20491803278688522,0.0
2020-08-27,1.0,-0.1962590174218015,-0.5391063841920675,-0.3643180975734937,-0.5413874711299934,-0.21028770209004588,0.0
2020-08-28,1.0,-0.1946900131181201,-0.5408372782752524,-0.36328637426567045,-0.5426624080305709,-0.21028916899560826,0.0
