Date,AA,IWF,IWM,MTUM,SDY,SPY,USMV,VLUE,XLB,XLC,XLE,XLF,XLI,XLK,XLP,XLRE,XLU,XLV,XLY
2019-12-04,1.0,-0.0,-0.7333963282937366,-0.0,-0.21389038876889852,-0.0,-0.0,-1.1580723542116633,-0.8482721382289417,-0.0,-0.603604211663067,-0.0,-0.0,-0.0,-0.0,-0.0,-2.088350431965443,-0.0,-0.10387419006479483
2019-12-05,1.0,-0.0,-0.7429129351558817,-0.0,-0.1607972527102552,-0.0,-0.0,-1.179718537472224,-0.8932731802572217,-0.0,-0.5662918321998518,-0.0,-0.0,-0.0,-0.0,-0.0,-2.079119251228873,-0.0,-0.11137297151706956
2019-12-06,1.0,-0.0,-0.7260652642934196,-0.0,-0.17664509169363538,-0.0,-0.0,-1.1904665587918015,-0.9035868392664509,-0.0,-0.559937971952535,-0.0,-0.0,-0.0,-0.0,-0.0,-2.0823894282632147,-0.0,-0.10308791801510248
2019-12-09,1.0,-0.0,-0.7259812832424426,-0.0,-0.18602302565138357,-0.0,-0.0,-1.165286474112974,-0.9061469063488857,-0.0,-0.5629165825085841,-0.0,-0.0,-0.0,-0.0,-0.0,-2.0805224533764224,-0.0,-0.10570255167306268
2019-12-10,1.0,-0.0,-0.7391685196415337,-0.0,-0.1956067650427869,-0.0,-0.0,-1.1747860656290008,-0.8705612829324171,-0.0,-0.5579138872043663,-0.0,-0.0,-0.0,-0.0,-0.0,-2.095411360420457,-0.0,-0.10470992520719628
2019-12-11,1.0,-0.0,-0.722889087043007,-0.0,-0.1443171685300775,-0.0,-0.0,-1.058440222237465,-0.944783592839015,-0.0,-0.670827903148364,-0.0,-0.0,-0.0,-0.0,-0.0,-2.1722340352561904,-0.0,-0.1456890047328349
2019-12-12,1.0,-0.0,-0.7435178217144421,-0.0,-0.16159266607374975,-0.0,-0.0,-1.0461791065198058,-0.9224191010467265,-0.0,-0.6651159608674831,-0.0,-0.0,-0.0,-0.0,-0.0,-2.15550386536225,-0.0,-0.14702059246083327
2019-12-13,1.0,-0.0,-0.7619796295030419,-0.0,-0.15729031376033906,-0.0,-0.0,-1.0373914826714061,-0.9087429079226195,-0.0,-0.6595802857338164,-0.0,-0.0,-0.0,-0.0,-0.0,-2.1628272609200905,-0.0,-0.14799371112174448
2019-12-16,1.0,-0.0,-0.7566591729681859,-0.0,-0.310647864295933,-0.0,-0.0,-0.9482934804823216,-0.8325499012194291,-0.0,-0.674841610463928,-0.0,-0.0,-0.0,-0.0,-0.0,-2.1006880577696028,-0.0,-0.1888412017167382
2019-12-17,1.0,-0.0,-0.860673695741476,-0.0,-0.6780775023962755,-0.0,-0.0,-0.7631110502533206,-0.8174722716691771,-0.0,-0.5414213336984801,-0.0,-0.0,-0.0,-0.0,-0.0,-2.1676023551964945,-0.0,-0.0180747637957004
2019-12-18,1.0,-0.0,-0.9385497746825071,-0.0,-0.6961627748190632,-0.0,-0.0,-0.8060221220811142,-0.7647139150621329,-0.0,-0.4750102417042196,-0.0,-0.0,-0.0,-0.0,-0.039532978287587055,-2.1078110064181343,-0.0,-0.0
