Date,IWF,IWM,MTUM,SPY,TPVG,VLUE,VXX
2020-01-21,-0.0,-0.08716904276985744,-1.1830278343516634,-0.9150373387644264,1.0,-0.20919891378139852,0.0
2020-01-22,-0.0,-0.08395858088609744,-1.187710066202682,-0.9125785095909014,1.0,-0.21079612968935665,0.0
2020-01-23,-0.0,-0.0787492762015055,-1.179536087741408,-0.9251677509451955,1.0,-0.22269150856636802,0.0
2020-01-24,-0.0,-0.08201742444867956,-1.1807105907977131,-0.9251293220800437,1.0,-0.21538932752518378,0.0
2020-01-27,-0.0,-0.06650154378583789,-1.183625691310691,-0.9226410613103518,1.0,-0.2201676110338276,0.0
2020-01-28,-0.0,-0.08378250909580919,-1.182354130171136,-0.9079975744508826,1.0,-0.19471769303328393,0.0
2020-01-29,-0.0,-0.08790655523109457,-1.1823582720773338,-0.8973920048333501,1.0,-0.1888363038297587,0.0
2020-01-30,-0.0,-0.08621383985502383,-1.1778307268944224,-0.913786160144976,1.0,-0.1781327605879589,0.0
2020-01-31,-0.0,-0.10233701508620689,-1.174737338362069,-0.9108634159482759,1.0,-0.17951912715517243,0.0
2020-02-03,-0.0,-0.09136786188579016,-1.1592297476759628,-0.89601593625498,1.0,-0.173406374501992,0.0
2020-02-04,-0.0,-0.07907994166777145,-1.1530558133368687,-0.8977197401564364,1.0,-0.1844756728092271,0.0
2020-02-05,-0.0,-0.08309984507367242,-1.149355572403336,-0.8942215776114977,1.0,-0.16962784718330753,0.0
2020-02-06,-0.0,-0.07697327634026169,-1.1439292589813033,-0.8809345123503115,1.0,-0.16115769895911508,0.0
2020-02-07,-0.0,-0.08020782594577042,-1.1268712453320344,-0.8767981815229744,1.0,-0.16340314986199056,0.0
2020-02-10,-0.0,-0.05608352728213085,-1.1264546159813809,-0.8822407551073183,1.0,-0.16773338505301266,0.0
2020-02-11,-0.0,-0.062043678234858964,-1.1089061143096073,-0.8803833906918401,1.0,-0.16503168119391462,0.0
2020-02-12,-0.0,-0.0644415917843389,-1.1109756097560977,-0.8732670089858794,1.0,-0.1605584082156611,0.0
2020-02-13,-0.0,-0.07787095122263475,-1.103635898092434,-0.8745679170400716,1.0,-0.14450774548713355,0.0
2020-02-14,-0.0,-0.0938824954572986,-1.119704166533839,-0.8287162485256144,1.0,-0.14555771621664698,0.0
2020-02-18,-0.0,-0.09494962377247801,-1.1137609998724654,-0.8253411554648642,1.0,-0.15431705139650556,0.0
2020-02-19,-0.0,-0.11335890060722276,-1.117641418983701,-0.8152125279642057,1.0,-0.14966442953020132,0.0
2020-02-20,-0.0,-0.11547172152762697,-1.0543542332392268,-0.7948375888065026,1.0,-0.13774702944187633,0.0
2020-02-21,-0.0,-0.11359905850289571,-1.0540122022979963,-0.793830716343027,1.0,-0.1355570008361981,0.0
2020-02-24,-0.0,-0.12036893264184342,-1.0589733238098196,-0.7938883885593614,1.0,-0.13226297319959007,0.0
2020-02-25,-0.0,-0.14976730220687584,-1.0283741180003003,-0.7025972076264825,1.0,-0.12184356703197717,0.0
2020-02-26,-0.0,-0.15481286692759297,-1.051522749510763,-0.7163038160469667,1.0,-0.13512108610567514,0.0
2020-02-27,-0.0,-0.14268157797714145,-1.051861865552415,-0.7550079882020401,1.0,-0.12286469214698291,0.0
2020-02-28,-0.0,-0.17995825862018283,-0.9722508010229578,-0.6687145418736589,1.0,-0.11858079308621654,0.0
2020-03-02,-0.0,-0.19578704797920113,-0.9847553769794375,-0.6589163318364453,1.0,-0.11495509335854408,0.0
2020-03-03,-0.0,-0.24497664208926664,-0.8742612708954803,-0.5989193448528171,1.0,-0.09604885461811223,0.0
2020-03-04,-0.0,-0.27842046718576197,-0.8909899888765296,-0.5476084538375974,1.0,-0.0638765294771969,0.0
2020-03-05,-0.0,-0.3312824095220183,-0.8133748891695102,-0.4949353824659448,1.0,-0.047233939654477544,0.0
2020-03-06,-0.0,-0.42649801345982324,-0.8132922511419228,-0.45587718586988835,1.0,-0.007081272466823428,0.0
2020-03-09,-0.0,-0.408277194771733,-0.8083684478917846,-0.4522665664671623,1.0,-0.014976247349633647,0.0
2020-03-10,-0.10071141522754426,-0.37612685999782774,-0.6979200608232866,-0.4233192136417943,1.0,-0.11724774628000435,0.0
2020-03-11,-0.06757152361942781,-0.41958749168330006,-0.6947438456420493,-0.3891683300066534,1.0,-0.0902727877578177,0.0
2020-03-12,-0.07258085533345496,-0.3819551223580308,-0.671705194026739,-0.3861509994527117,1.0,-0.09376873159417268,0.0
2020-03-13,-0.1806122165792468,-0.3906141592429162,-0.6290622484944357,-0.3920017761496406,1.0,-0.1829434129825438,0.0
2020-03-16,-0.14108237803252466,-0.4621967475339909,-0.5919221540922421,-0.3612903225806452,1.0,-0.10946414289522793,0.0
2020-03-17,-0.2293046357615894,-0.4038666951506089,-0.49447233497116005,-0.3551591540269174,1.0,-0.18759346293527027,0.0
2020-03-18,-0.3224899598393574,-0.5706827309236948,-0.4655854185974668,-0.5291010194624652,1.0,-0.2014210688909484,0.0
2020-03-19,-0.5125939383929309,-0.8454042447766125,-0.7550582211578165,-0.7452308200512016,1.0,-0.27087290445123463,0.0
2020-03-20,-0.627706703101064,-0.6315571564608952,-0.6295284229702314,-0.6293628120730345,0.4762969403386743,-0.6220759325963648,0.5237030596613257
2020-03-23,-0.6871394337445639,-0.6922428330522765,-0.6902014733291915,-0.6897576994763469,0.4766131179550901,-0.6783970888435255,0.52338688204491
2020-03-24,-0.6998154234007113,-0.7050826092828525,-0.7035069553864853,-0.7027866564624319,0.4775581866474587,-0.6907216494845362,0.5224418133525414
2020-03-25,-0.7009505789070596,-0.706581970536559,-0.7031580844258233,-0.7040140559535072,0.4821822768842636,-0.6904086137766364,0.5178177231157364
2020-03-26,-0.7084961381190368,-0.7144025442980463,-0.7109950022716945,-0.7118128123580191,0.48282598818718764,-0.6976828714220809,0.5171740118128123
2020-03-27,-0.7390140845070422,-0.745774647887324,-0.7414084507042253,-0.7430516431924883,0.49140845070422534,-0.7255868544600939,0.5085915492957747
2020-03-30,-0.7420388166572451,-0.748728094968909,-0.7453363482193329,-0.7463727152817035,0.4934520444695685,-0.7282833992839646,0.5065479555304315
2020-03-31,-0.7479728768552325,-0.7555123524112095,-0.7514818151643037,-0.7524775949547157,0.49324292285077526,-0.7343164683010099,0.5067570771492247
2020-04-01,-0.7469919469445759,-0.7546660350544766,-0.7504500236854571,-0.7515395547134059,0.4930364756039792,-0.7333964945523449,0.5069635243960209
2020-04-02,-0.7534076827757125,-0.7596987894385663,-0.7565055762081785,-0.7579830330759698,0.4971404060623391,-0.738442474501954,0.5028595939376609
2020-04-03,-0.7547971360381861,-0.7613842482100238,-0.7579952267303102,-0.7591885441527445,0.49799522673031027,-0.7398568019093078,0.5020047732696897
