Date,CCBG,IWF,IWM,MTUM,SPY,VLUE,VXX
2020-05-14,1.0,-0.1990772581384686,-0.911766391563503,-0.20996675836772125,-0.48853736817973403,-0.05633883539660706,0.0
2020-05-15,1.0,-0.1965856033914812,-0.9177336656068289,-0.21130875655237608,-0.48795508578957925,-0.050843573658732204,0.0
2020-05-18,1.0,-0.19875509150364296,-0.9066892318283518,-0.20322987780391258,-0.4893867248006426,-0.07039183064654925,0.0
2020-05-19,1.0,-0.1958345303073829,-0.9154553289284688,-0.19781671933352485,-0.49164033323757533,-0.07201953461648951,0.0
2020-05-20,1.0,-0.19410234171725935,-0.9309337958947673,-0.19352413992483378,-0.5035270309337959,-0.06889274356750506,0.0
2020-05-21,1.0,-0.19711580227608375,-0.93762488054904,-0.19019488605102364,-0.5052268844293863,-0.06564735180841513,0.0
2020-05-22,1.0,-0.1949194225038336,-0.941324537800538,-0.19008766600121516,-0.5044700980817637,-0.06243670977635043,0.0
2020-05-26,1.0,-0.19507537397644745,-0.9418708949393826,-0.1908798935215995,-0.5041231445849368,-0.06148548942449583,0.0
2020-05-27,1.0,-0.18420060878388173,-0.9497608349036093,-0.16912596028409915,-0.5077837367734455,-0.0880997245977678,0.0
2020-05-28,1.0,-0.17580439075386223,-0.9579800209083518,-0.16241723777442213,-0.5056336392147752,-0.10213149030084795,0.0
2020-05-29,1.0,-0.17477503628447025,-0.9615965166908564,-0.16127721335268505,-0.503367198838897,-0.10171262699564587,0.0
2020-06-01,1.0,-0.1752278135701434,-0.9685994544082651,-0.152475477392768,-0.5036276046201172,-0.1021533461025016,0.0
2020-06-02,1.0,-0.1755119825708061,-0.9642992011619462,-0.1518082788671024,-0.5074800290486565,-0.10576615831517791,0.0
2020-06-03,1.0,-0.1756568239944199,-0.9646884445477796,-0.1594977912113462,-0.5047953964194374,-0.10163334108346897,0.0
2020-06-04,1.0,-0.1752382062414406,-0.9712112823800227,-0.14694484105014716,-0.5112619831580174,-0.10921064133570325,0.0
2020-06-05,1.0,-0.16609873307121012,-0.9709043250327654,-0.14451725644386196,-0.50898500072812,-0.12197466142420271,0.0
2020-06-08,1.0,-0.16887940109954383,-0.9842379225640425,-0.13144812258743713,-0.5155573751315944,-0.12416656918937888,0.0
2020-06-09,1.0,-0.17907739140615853,-0.980213089802131,-0.13607891347617374,-0.5184990048003746,-0.11321859267064746,0.0
2020-06-10,1.0,-0.1798706429804794,-0.9807720448359624,-0.13664432672890633,-0.518891392782932,-0.11045099359068163,0.0
2020-06-11,1.0,-0.1677078750549934,-1.0023757149142103,-0.11171726059539522,-0.5226279513125092,-0.12855257369115708,0.0
2020-06-12,1.0,-0.16878915925979893,-0.972781582398368,-0.13163339647384525,-0.5107387439895089,-0.13023459128660936,0.0
2020-06-15,1.0,-0.16794871794871793,-0.9741258741258741,-0.13082750582750582,-0.5108682983682984,-0.13001165501165501,0.0
2020-06-16,1.0,-0.17044263249854397,-0.9640652300524171,-0.12958648806057077,-0.5149679673849739,-0.13299359347699477,0.0
