Date,IWF,IWM,MTUM,RPD,SPY,VLUE,VXX
2020-01-16,-0.8153592978606693,-0.3249588590235875,-2.325123422929238,1.0,-1.0200767964893034,-0.0,0.0
2020-01-17,-0.8369190343241911,-0.32014014342803965,-2.2990091421689387,1.0,-1.018339081403624,-0.0,0.0
2020-01-21,-0.8506646244734971,-0.32153602100541545,-2.281713254198348,1.0,-1.0162463760188174,-0.0,0.0
2020-01-22,-0.8524751932459844,-0.3341373828189244,-2.2679677649251686,1.0,-1.027520421029549,-0.0,0.0
2020-01-23,-0.8680769230769231,-0.33214285714285713,-2.2515934065934067,1.0,-1.0427472527472528,-0.0,0.0
2020-01-24,-0.8696666493856603,-0.3084141220384675,-2.089688423453782,1.0,-0.9165327388667116,-0.0,0.0
2020-01-27,-0.8673164191419142,-0.27140057755775576,-2.1079826732673266,1.0,-0.9100660066006601,-0.0,0.0
2020-01-28,-0.8531893004115227,-0.27978395061728395,-2.121913580246914,1.0,-0.8890946502057613,-0.0,0.0
2020-01-29,-0.8336927500513452,-0.28660915999178477,-2.130622304374615,1.0,-0.8836003286095707,-0.0,0.0
2020-01-30,-0.8445354491937548,-0.26859482979267985,-2.115536217046327,1.0,-0.8904018428461736,-0.0,0.0
2020-01-31,-0.796400163165409,-0.3127167040587396,-2.1079441158474403,1.0,-0.881858046094228,-0.0,0.0
2020-02-03,-0.8007968127490039,-0.2957284784910989,-2.093146401734833,1.0,-0.8534469716072419,-0.0,0.0
2020-02-04,-0.7904215715866787,-0.29670993057651673,-2.085722909749472,1.0,-0.8578327799577422,-0.0,0.0
2020-02-05,-0.7631723792844632,-0.2982236677508131,-2.0870652989742307,1.0,-0.8552914686014511,-0.0,0.0
2020-02-06,-0.7846739076029832,-0.2900045047299665,-2.106411732318935,1.0,-0.8241653736423245,-0.0,0.0
2020-02-07,-0.7621987951807229,-0.31114457831325304,-2.1170180722891567,1.0,-0.8298192771084338,-0.0,0.0
2020-02-10,-0.7631684559044848,-0.30711347446573695,-2.117939199357881,1.0,-0.828333500551821,-0.0,0.0
2020-02-11,-0.7625614281416108,-0.30754187142713874,-2.1161367967104603,1.0,-0.8283020760204594,-0.0,0.0
2020-02-12,-0.7909071862560234,-0.2664990571967316,-2.2244919337942592,1.0,-0.9558453802639849,-0.0,0.0
2020-02-13,-0.7719353484466834,-0.2679995801847187,-2.248425692695214,1.0,-0.9592779177162047,-0.0,0.0
2020-02-14,-0.7869067618647626,-0.2606572868542629,-2.225745485090298,1.0,-0.9765854682906341,-0.0,0.0
2020-02-18,-0.7860516372795969,-0.2686817800167926,-2.212164147774979,1.0,-0.9807934508816121,-0.0,0.0
2020-02-19,-0.7842229818564291,-0.29313699710754665,-2.2160399684459633,1.0,-0.9656061004470154,-0.0,0.0
2020-02-20,-0.8053282987203693,-0.28849381162156496,-2.191420180406965,1.0,-0.959198657436543,-0.0,0.0
2020-02-21,-0.7976508835404542,-0.29096534004509467,-2.1973152954748048,1.0,-0.9576844423470191,-0.0,0.0
2020-02-24,-0.7547598163149476,-0.27939734791806403,-2.1919921572674266,1.0,-0.9335431608276147,-0.0,0.0
2020-02-25,-0.6939215981528887,-0.322943331827536,-2.1567033077347793,1.0,-0.8457561612206997,-0.0,0.0
2020-02-26,-0.7078350012204051,-0.27415181840371006,-2.1029045643153528,1.0,-0.7967293141322919,-0.0,0.0
2020-02-27,-0.7347864248098303,-0.2571679344645992,-2.084454846889019,1.0,-0.7997854495806515,-0.0,0.0
2020-02-28,-0.6949302325581395,-0.3618139534883721,-1.9488837209302325,1.0,-0.6455348837209303,-0.0,0.0
2020-03-02,-0.7144778334260806,-0.33644036356891116,-1.9400389538119087,1.0,-0.6463550361713968,-0.0,0.0
2020-03-03,-0.6642751446123492,-0.476794762566701,-1.7739114837899645,1.0,-0.5691224608761939,-0.0,0.0
2020-03-04,-0.5788024164889837,-0.5277629708599858,-1.8484363894811657,1.0,-0.4870735607675906,-0.0,0.0
2020-03-05,-0.5774169995275523,-0.586393505991496,-1.7298028604561266,1.0,-0.40136580337585365,-0.0,0.0
2020-03-06,-0.5751830377925431,-0.5948622455457276,-1.7003681916289306,1.0,-0.36167421388971177,-0.0,0.0
2020-03-09,-0.5756809174466649,-0.5836073867948393,-1.7053292857745173,1.0,-0.351589510076735,-0.0,0.0
2020-03-10,-0.7514299973127567,-0.3145226304272717,-1.3798610311336328,1.0,-0.3930669123574801,-0.0,0.0
2020-03-11,-0.6415896212347152,-0.4172755741127349,-1.3906203399940353,1.0,-0.27851923650462274,-0.0,0.0
2020-03-12,-0.6911006096461166,-0.30698748241405427,-1.3241585801378017,1.0,-0.2851267991775188,-0.0,0.0
2020-03-13,-0.7214679747629901,-0.1545932018630463,-1.132923727413867,1.0,-0.2942886400422819,-0.0,0.0
2020-03-16,-0.5648542159180457,-0.3097241922773838,-1.0945311268715525,1.0,-0.18301024428684004,-0.0,0.0
2020-03-17,-0.5287990375869253,-0.2825327895308236,-0.7538511193920365,1.0,-0.36900325694668584,-0.0,0.0
2020-03-18,-0.5290497364468918,-0.28024971288907213,-0.7614770752966813,1.0,-0.37392149356577054,-0.0,0.0
2020-03-19,-0.5328772659046299,-0.24872993880614244,-0.7394931301235422,1.0,-0.36540237847823576,-0.0,0.0
2020-03-20,-0.5313168082278846,-0.2664817703819264,-0.7310625758363668,1.0,-0.36011440457618304,-0.0,0.0
2020-03-23,-0.5379891006603039,-0.35699662639485596,-0.6318445258210548,1.0,-0.356621781378853,-0.0,0.0
2020-03-24,-0.5625684162009563,-0.38511839603618137,-0.5831652935415107,1.0,-0.34980123293195825,-0.0,0.0
2020-03-25,-0.5586345046323344,-0.3706702278607795,-0.513257101521854,1.0,-0.3396210666889241,-0.0,0.0
2020-03-26,-0.5621369208105179,-0.37082024626844934,-0.5074908969619479,1.0,-0.33907774411429525,-0.0,0.0
2020-03-27,-0.5617952686270175,-0.36648795047534827,-0.49969599823126243,1.0,-0.33564558921070087,-0.0,0.0
2020-03-30,-0.560391670114467,-0.3623500206868018,-0.5046752172114192,1.0,-0.3308233347124535,-0.0,0.0
2020-03-31,-0.5490056037798045,-0.3775683990770245,-0.49848917701351503,1.0,-0.32188770464784094,-0.0,0.0
2020-04-01,-0.5503814280226113,-0.3779430327643927,-0.4915756544646287,1.0,-0.3241863783546457,-0.0,0.0
2020-04-02,-0.5544305183077007,-0.36930107821137315,-0.49055880904165067,1.0,-0.3222593180449893,-0.0,0.0
2020-04-03,-0.5507226465900973,-0.3962466340605595,-0.5041490355553113,1.0,-0.2965873495631148,-0.0,0.0
2020-04-06,-0.5472538347352796,-0.3988399582165045,-0.5073396008576613,1.0,-0.2954807850898895,-0.0,0.0
2020-04-07,-0.5381070542360865,-0.3935865623210536,-0.5037766204019306,1.0,-0.2913042292694898,-0.0,0.0
2020-04-08,-0.5378057416789235,-0.3975322765157705,-0.5013618783025549,1.0,-0.28705670861251836,-0.0,0.0
2020-04-09,-0.5396398598549662,-0.38719139574676115,-0.5061788750373448,1.0,-0.2830060566555311,-0.0,0.0
2020-04-13,-0.5370632030867887,-0.3932123254170969,-0.5044291071137438,1.0,-0.2825661648823433,-0.0,0.0
2020-04-14,-0.5443574690150033,-0.3798380082626658,-0.5133724722765818,1.0,-0.28044140030441395,-0.0,0.0
2020-04-15,-0.547808602559574,-0.37621932994592827,-0.5150667065184903,1.0,-0.2780751569165557,-0.0,0.0
2020-04-16,-0.557804487614293,-0.358602165124671,-0.5217190764305287,1.0,-0.2750630816398513,-0.0,0.0
2020-04-17,-0.5520217096336499,-0.37769335142469473,-0.5075983717774762,1.0,-0.2764179104477612,-0.0,0.0
2020-04-20,-0.5548805294133601,-0.3727048357787963,-0.5078516991673673,1.0,-0.27669442108974535,-0.0,0.0
2020-04-21,-0.5599183673469388,-0.38125170068027214,-0.514421768707483,1.0,-0.2654965986394558,-0.0,0.0
2020-04-22,-0.5615719336415556,-0.38079956486265976,-0.5150394343214576,1.0,-0.26219744356812613,-0.0,0.0
