Date,GATX,IWF,IWM,MTUM,SPY,VLUE,VXX
2020-04-15,1.0,-0.25560970782514036,-0.45105267064149823,-0.0,-0.3751762697607679,-0.3921229064100344,0.0
2020-04-16,1.0,-0.261137054332518,-0.4457786672596546,-0.0007906505571615646,-0.3760531712499691,-0.38702344773058583,0.0
2020-04-17,1.0,-0.26143887735942284,-0.44396679513785947,-0.0022976578713311594,-0.37595118094673385,-0.3869206443324439,0.0
2020-04-20,1.0,-0.26721436853921493,-0.435719043742136,-0.008388226876865763,-0.3732267535094861,-0.38257715935163944,0.0
2020-04-21,1.0,-0.26746031746031745,-0.4283234126984127,-0.005952380952380952,-0.3843501984126984,-0.39409722222222227,0.0
2020-04-22,1.0,-0.25378488026914703,-0.4460963783890758,-0.0,-0.38754205422521276,-0.38635464080744114,0.0
2020-04-23,1.0,-0.24258513817202973,-0.4537327439310498,-0.0,-0.3837700343269207,-0.3894747240263749,0.0
2020-04-24,1.0,-0.23915307185005208,-0.4679674716120395,-0.0,-0.3827292110874201,-0.38942331531710217,0.0
2020-04-27,1.0,-0.2462050632282428,-0.4692554222255348,-0.0,-0.3811830761968647,-0.38776676355866935,0.0
2020-04-28,1.0,-0.2405891573159505,-0.47998407682929867,-0.0,-0.378249944020103,-0.3891722439230712,0.0
2020-04-29,1.0,-0.22969947258433676,-0.48726241417056426,-0.0,-0.37391780276644443,-0.3969300427903274,0.0
2020-04-30,1.0,-0.23329527402700556,-0.46994142176330417,-0.0,-0.38631850675138996,-0.3925734710087371,0.0
2020-05-01,1.0,-0.23073294269540173,-0.47415334194060976,-0.0,-0.38447214221869097,-0.3935097825007448,0.0
2020-05-04,1.0,-0.23038244327751906,-0.4703507381353413,-0.0,-0.38833845239274745,-0.38789259883087285,0.0
