Date,IWF,IWM,MTUM,SPY,TLK,VLUE,VXX
2020-04-27,-0.2017335415393668,-0.19240953221535745,-0.2972820060198701,-0.45069816914477107,1.0,-0.12098581030619866,0.0
2020-04-28,-0.19896295625396251,-0.1971288832533285,-0.29700661171995296,-0.44995924282220817,1.0,-0.12122996105425234,0.0
2020-04-29,-0.2070463648089064,-0.19319801778562215,-0.2953408910913493,-0.45029755843685654,1.0,-0.11691896906749938,0.0
2020-04-30,-0.21216549456571376,-0.21522513471549912,-0.29281212896154896,-0.4485569458398027,1.0,-0.1145766736688282,0.0
2020-05-01,-0.22293080672345464,-0.19466587710107958,-0.29749920284243614,-0.4555413838655309,1.0,-0.10693299321277273,0.0
2020-05-04,-0.2294098941534548,-0.19104619997274339,-0.292031981102076,-0.45768409576159547,1.0,-0.1012129196383955,0.0
2020-05-05,-0.230332356482428,-0.19353006656216634,-0.2899429791680865,-0.4565074172516413,1.0,-0.1014334719098571,0.0
2020-05-06,-0.22914680107160695,-0.19288925214548425,-0.2916496390137583,-0.45695409344775917,1.0,-0.09973663896835126,0.0
2020-05-07,-0.22894850419099108,-0.20291665720191718,-0.2778320423415033,-0.45985053267610115,1.0,-0.10196942507325715,0.0
2020-05-08,-0.23054218508763966,-0.19920988102806284,-0.27690491326854966,-0.4606075742439379,1.0,-0.10316955771501227,0.0
2020-05-11,-0.23538891032479176,-0.18631834585442247,-0.2830749676570054,-0.4663292403368211,1.0,-0.09857236886901656,0.0
2020-05-12,-0.23496449556478138,-0.18784455182740079,-0.2804283218766306,-0.46643526395789375,1.0,-0.09900406089067355,0.0
2020-05-13,-0.2335569557137029,-0.18568967861837632,-0.27981505824758623,-0.4695163410543493,1.0,-0.09786501065228231,0.0
2020-05-14,-0.23606971913663868,-0.17400433486859931,-0.2733902284836991,-0.4714846924952587,1.0,-0.10277250970829947,0.0
2020-05-15,-0.24680485932348822,-0.17881497538725558,-0.27640789414261846,-0.47098405816736666,1.0,-0.08506074154360295,0.0
2020-05-18,-0.2492032277751407,-0.17714337379353992,-0.2699306073551683,-0.4678239641961076,1.0,-0.09624556406952826,0.0
2020-05-19,-0.2444086558091004,-0.1915120446400218,-0.2551150024951232,-0.47062559542711974,1.0,-0.10663249104023954,0.0
2020-05-20,-0.24418182643015923,-0.19044594655899835,-0.2552511001224879,-0.47207730345234317,1.0,-0.10631492990972191,0.0
2020-05-21,-0.24534733110641488,-0.1738132569818438,-0.2717294975799305,-0.4776512827504715,1.0,-0.10384711523166767,0.0
2020-05-22,-0.24461461552445007,-0.17226413379385566,-0.27322305035448097,-0.4786402472277767,1.0,-0.10357207780403563,0.0
2020-05-26,-0.24408250420244423,-0.17234564535913863,-0.2741356594430058,-0.4777611194402799,1.0,-0.10326654854390986,0.0
2020-05-27,-0.23195441595441596,-0.180968660968661,-0.2484786324786325,-0.4830541310541311,1.0,-0.13472364672364673,0.0
2020-05-28,-0.24744385612561623,-0.17208325725762277,-0.258900858134015,-0.4903688150447325,1.0,-0.11347452985210882,0.0
2020-05-29,-0.2463315000342317,-0.1729386795682238,-0.2581300349163605,-0.49006138889522805,1.0,-0.1146306396768525,0.0
2020-06-01,-0.24794595581522733,-0.17420576958188788,-0.2596996530947599,-0.48886251597589925,1.0,-0.11153459923315683,0.0
2020-06-02,-0.24672364672364674,-0.17522507122507125,-0.2612193732193732,-0.48722507122507125,1.0,-0.1087863247863248,0.0
2020-06-03,-0.2497143901658822,-0.17454188182607502,-0.25106246858291825,-0.49584152081524474,1.0,-0.11371841155234658,0.0
2020-06-04,-0.24961666094518822,-0.17734294541709578,-0.2433688064995995,-0.5001487584391807,1.0,-0.11811420070946334,0.0
2020-06-05,-0.25100048023051064,-0.17455235655972007,-0.24098424386562692,-0.500560268929086,1.0,-0.11971460586795947,0.0
2020-06-08,-0.25265441260417854,-0.16992807398104806,-0.25235757506564677,-0.495376184495947,1.0,-0.11302660121018382,0.0
2020-06-09,-0.2597203819618952,-0.1686617626901814,-0.2540549184447389,-0.49645908530177735,1.0,-0.10556494722894869,0.0
2020-06-10,-0.25069899619562724,-0.17454278773433562,-0.24437365357290186,-0.5027730668744557,1.0,-0.11940230095796855,0.0
2020-06-11,-0.2543296985246953,-0.16482635388985611,-0.250481077613855,-0.5045587831027215,1.0,-0.11667277558874736,0.0
2020-06-12,-0.25680144124421334,-0.15833162299605483,-0.25978883035734646,-0.4898862055597364,1.0,-0.1156416045244122,0.0
2020-06-15,-0.25645996305334456,-0.15918991037015073,-0.25880904052728804,-0.49015896184459595,1.0,-0.11601705931990786,0.0
2020-06-16,-0.2558007020103022,-0.15977572138396315,-0.2565756484478279,-0.48978894105848564,1.0,-0.11731321511601404,0.0
2020-06-17,-0.25583622104687215,-0.15999452854276858,-0.2576600401240197,-0.4900145905526172,1.0,-0.11626846616815611,0.0
2020-06-18,-0.265104047564601,-0.14863937800137206,-0.26828264349416875,-0.49492339355133774,1.0,-0.10983306654470615,0.0
2020-06-19,-0.26632200210458895,-0.1498147046712724,-0.2681749553918653,-0.49487578350185296,1.0,-0.10840920528892346,0.0
2020-06-22,-0.2663616607571772,-0.14969690037744482,-0.26668191696214116,-0.4960082351595562,1.0,-0.10879560791490335,0.0
2020-06-23,-0.2615782605709576,-0.1438611753393924,-0.26677502804422976,-0.498431812458506,1.0,-0.1187014949291454,0.0
2020-06-24,-0.25989929045548177,-0.1413824673838407,-0.26772716868848706,-0.4982146944380865,1.0,-0.12162966353856718,0.0
2020-06-25,-0.25698617616817093,-0.13666171598309151,-0.2735519250542671,-0.4974294527590541,1.0,-0.120301610876271,0.0
2020-06-26,-0.2559747996986921,-0.13677554840329614,-0.2716336825766395,-0.49702116003560914,1.0,-0.12120797096487024,0.0
2020-06-29,-0.2527858168311191,-0.13346854134858602,-0.27338604926737003,-0.4954538203860265,1.0,-0.12371533395620171,0.0
2020-06-30,-0.25537732409770325,-0.12702788917243893,-0.27599799489609916,-0.4959670069267226,1.0,-0.1241569449507838,0.0
2020-07-01,-0.25409873394662535,-0.12769833318152837,-0.2706986064304581,-0.501981054740869,1.0,-0.1226204572365425,0.0
2020-07-02,-0.24998861825631685,-0.13107216025495105,-0.2688823127703164,-0.4994081493284771,1.0,-0.1269974960163897,0.0
2020-07-06,-0.24932100878694513,-0.12979573205523223,-0.2733766974780326,-0.5019285632774164,1.0,-0.1279014036288942,0.0
2020-07-07,-0.24353040424998293,-0.13577600948494037,-0.2680863676782417,-0.5040242595590415,1.0,-0.1285939031897672,0.0
2020-07-08,-0.24213428109265714,-0.1393388467409382,-0.26653452714555853,-0.5006948716196205,1.0,-0.12956507871414577,0.0
2020-07-09,-0.24342614956933875,-0.14097889987695394,-0.2658706649045254,-0.49940755594039105,1.0,-0.1289477282048945,0.0
2020-07-10,-0.2477373760401231,-0.14031688134047646,-0.26855123674911663,-0.49955545423458336,1.0,-0.1235381283483415,0.0
2020-07-13,-0.2540912613392898,-0.14263572958927836,-0.26831380772211333,-0.4988831654282718,1.0,-0.1153302639376396,0.0
2020-07-14,-0.24850858417960744,-0.14119495423288855,-0.2647206156928822,-0.5032105287126007,1.0,-0.11933603533858554,0.0
2020-07-15,-0.24915755919854282,-0.1374089253187614,-0.26785063752276866,-0.5012295081967213,1.0,-0.1211976320582878,0.0
2020-07-16,-0.25192439079936235,-0.1326349350945115,-0.2678888635846049,-0.5021862901389206,1.0,-0.12275108175814166,0.0
2020-07-17,-0.25206715108995237,-0.13252545500102503,-0.2684904671875356,-0.5007403020432336,1.0,-0.12400628687273639,0.0
2020-07-20,-0.25415346749014334,-0.13318443902550195,-0.2681920736571025,-0.4964333735955696,1.0,-0.1270311538549192,0.0
2020-07-21,-0.2428028492751644,-0.13729774015156687,-0.26169181402334946,-0.49830454473043395,1.0,-0.13570469493184042,0.0
2020-07-22,-0.2399363202183307,-0.13793495565158065,-0.2605185353650216,-0.49872640436661364,1.0,-0.13716170115988174,0.0
2020-07-23,-0.2413675369312362,-0.14071426945576218,-0.2616028953178704,-0.4988049985204744,1.0,-0.13370359410921176,0.0
2020-07-24,-0.234062386322299,-0.1450754819934522,-0.25675245543834124,-0.496498726809749,1.0,-0.14116496907966533,0.0
2020-07-27,-0.2367075083539815,-0.14632538473778725,-0.25564319974540245,-0.49821554408856356,1.0,-0.1363233388647678,0.0
2020-07-28,-0.23828045035823953,-0.1463891732059593,-0.2563630160354828,-0.4978505629477994,1.0,-0.13565336062777208,0.0
2020-07-29,-0.24347329986307623,-0.1446143313555454,-0.2572113190324053,-0.49593792788680974,1.0,-0.14080328617069832,0.0
2020-07-30,-0.24247327757139275,-0.14296784192173576,-0.2555097203546277,-0.4934475921325524,1.0,-0.14469995669713062,0.0
2020-07-31,-0.2443273813596041,-0.14464892476796423,-0.2557068253859661,-0.49257713621126087,1.0,-0.1431894369569679,0.0
2020-08-03,-0.23911060433295325,-0.14782212086659066,-0.25765108323831243,-0.48998859749144813,1.0,-0.14590649942987455,0.0
2020-08-04,-0.23552802980094611,-0.13554402724135567,-0.2546563978334895,-0.5023196288593824,1.0,-0.15730054619832257,0.0
2020-08-05,-0.23558318667001896,-0.1352426230257594,-0.254805604443327,-0.5007656967840736,1.0,-0.15926493108728945,0.0
2020-08-06,-0.23737847420793778,-0.1421708795607915,-0.2529795264783255,-0.5011780853254032,1.0,-0.15383735559876474,0.0
2020-08-07,-0.2397414148823988,-0.1449039475494017,-0.255100637293109,-0.4970427765806245,1.0,-0.1556095548117922,0.0
