Date,IWF,IWM,LQDT,MTUM,SPY,VLUE,VXX
2020-01-22,-0.0,-0.6223281053537159,1.0,-2.4467606379458675,-1.6769902719872942,-0.8715505261068097,0.0
2020-01-23,-0.0,-0.6392405063291139,1.0,-2.4357199367088604,-1.6787974683544302,-0.8390690928270041,0.0
2020-01-24,-0.0,-0.6570242573615255,1.0,-2.401932805811389,-1.642949798936308,-0.7839538202101439,0.0
2020-01-27,-0.0,-0.6341463414634145,1.0,-2.416380927735007,-1.6241832179595004,-0.7947855340622371,0.0
2020-01-28,-0.0,-0.675264508858699,1.0,-2.342765917485757,-1.5296437738684028,-0.7128905027233456,0.0
2020-01-29,-0.0,-0.6809345794392523,1.0,-2.338504672897196,-1.5095327102803737,-0.7015576323987539,0.0
2020-01-30,-0.0,-0.6713343291013194,1.0,-2.3326487428429177,-1.5184217077420963,-0.701207368683097,0.0
2020-01-31,-0.0,-0.7219033512312535,1.0,-2.2814910818984138,-1.4753440720854163,-0.6929580941800901,0.0
2020-02-03,-0.0,-0.6992805755395682,1.0,-2.2203836930455636,-1.4164868105515587,-0.6591127098321342,0.0
2020-02-04,-0.0,-0.7011446035836281,1.0,-2.217115119554144,-1.4161922454605382,-0.6582369509198778,0.0
2020-02-05,-0.0,-0.7157335612674767,1.0,-2.3163196776359976,-1.4474632150924966,-0.6258623847609744,0.0
2020-02-06,-0.0,-0.7216450745538988,1.0,-2.3663529699340016,-1.4373625030554875,-0.5856147641163529,0.0
2020-02-07,-0.0,-0.7579191185676725,1.0,-2.4117315637911605,-1.4836609490421935,-0.6069237510955302,0.0
2020-02-10,-0.0,-0.7658176356467865,1.0,-2.4101007572438826,-1.4799424244320671,-0.60241567056762,0.0
2020-02-11,-0.0,-0.7529805084211191,1.0,-2.4177758153030973,-1.4879202674572636,-0.6492777392291679,0.0
2020-02-12,-0.0,-0.7552178573680559,1.0,-2.4025474493978183,-1.4802951005738065,-0.6675074090421842,0.0
2020-02-13,-0.0,-0.7813422060392995,1.0,-2.393747253437127,-1.4731621570720073,-0.6296063783037228,0.0
2020-02-14,-0.0,-0.791462032489611,1.0,-2.414368467447425,-1.4568694119128573,-0.6337363052512278,0.0
2020-02-18,-0.0,-0.8090154973956658,1.0,-2.426467751270015,-1.4730885473602984,-0.7218185325702526,0.0
2020-02-19,-0.0,-0.8835992506943995,1.0,-2.435695368516246,-1.4355661778954847,-0.7047348362508882,0.0
2020-02-20,-0.0,-0.8892086330935252,1.0,-2.4510791366906473,-1.4799869195552648,-0.720013080444735,0.0
2020-02-21,-0.0,-0.891974905241145,1.0,-2.452163115932558,-1.474317082734283,-0.716572996993857,0.0
2020-02-24,-0.0,-0.9137312242456466,1.0,-2.5082413930612786,-1.5009969427090257,-0.7233151668217466,0.0
2020-02-25,-0.0,-0.9626279756296716,1.0,-2.3636706237045413,-1.3032472834620943,-0.6514038062935745,0.0
2020-02-26,-0.0,-0.9418056562726613,1.0,-2.2474619289340105,-1.2433526710176457,-0.6104060913705585,0.0
2020-02-27,-0.0,-0.9145410538074846,1.0,-2.3155216284987277,-1.3808105256625085,-0.5953577856389252,0.0
2020-02-28,-0.0,-1.0270565257352942,1.0,-2.053423713235294,-1.1290211397058822,-0.5350413602941176,0.0
2020-03-02,-0.0,-1.0091449474165524,1.0,-2.049439871970736,-1.1253429355281208,-0.5316643804298126,0.0
2020-03-03,-0.0,-1.1133932391955499,1.0,-1.7794715447154472,-0.9845956354300386,-0.4713307659392384,0.0
2020-03-04,-0.0,-1.1986174872038413,1.0,-1.8235976993298506,-0.8507202786132657,-0.4038309324046224,0.0
2020-03-05,-0.0,-1.3522302012744007,1.0,-1.6301203600687773,-0.7262061292606453,-0.34858905633660364,0.0
2020-03-06,-0.0,-1.465927750410509,1.0,-1.6676416256157636,-0.695915435139573,-0.301878078817734,0.0
2020-03-09,-0.0,-1.4529879665510912,1.0,-1.6770344686926373,-0.6804507444421783,-0.2884458494799103,0.0
2020-03-10,-0.1379944389631357,-0.9772625347564803,1.0,-1.450309444793255,-0.712306036415822,-0.20683469369450175,0.0
2020-03-11,-0.04588819339520829,-1.0916468810705806,1.0,-1.431599395639974,-0.6145909777681847,-0.13313187999136628,0.0
2020-03-12,-0.14652516261554263,-0.9015320095857583,1.0,-1.40662444368367,-0.6939404313591235,-0.13077713111947964,0.0
2020-03-13,-0.322730185052576,-0.6720687445822183,1.0,-1.1320619605773943,-0.6141408811668488,-0.027965175441902537,0.0
2020-03-16,-0.18317828381005274,-0.8161968897528464,1.0,-0.9870869202999167,-0.4847611774507081,-0.0,0.0
2020-03-17,-0.30249187432286023,-0.5658257235722025,1.0,-0.624021049373162,-0.5418975390806376,-0.061259866893669704,0.0
2020-03-18,-0.2980286518917595,-0.5689359617974776,1.0,-0.5937920901187707,-0.5326007101750949,-0.06774213297416432,0.0
2020-03-19,-0.2961526810057558,-0.5452287185701302,1.0,-0.585307482581036,-0.5308694335049985,-0.07182671917600726,0.0
2020-03-20,-0.3230391075536508,-0.7214256452273659,1.0,-0.5568650931207261,-0.549995273059591,-0.0,0.0
2020-03-23,-0.3205356306770297,-0.7425164653369541,1.0,-0.5200237225707776,-0.5383462871055343,-0.0,0.0
2020-03-24,-0.32577780537787987,-0.733962615661678,1.0,-0.5133204992858473,-0.5319816183319879,-0.0,0.0
2020-03-25,-0.3360675155463429,-0.7292863488303227,1.0,-0.37420787681374,-0.5216464317441516,-0.0,0.0
2020-03-26,-0.3455641230169281,-0.7294750214186534,1.0,-0.35977429170728825,-0.519483588880026,-0.0,0.0
2020-03-27,-0.3493055151973034,-0.7125007264485383,1.0,-0.31373859475794735,-0.530249317138374,-0.0,0.0
2020-03-30,-0.4249715393372511,-0.7587151164579551,1.0,-0.29857542844835544,-0.5945663210362757,-0.0,0.0
2020-03-31,-0.4183295019157088,-0.7650268199233717,1.0,-0.2927816091954023,-0.5889961685823755,-0.0,0.0
2020-04-01,-0.5368002176722672,-0.9051765186041766,1.0,-0.23151486293449428,-0.7276375756751241,-0.0,0.0
2020-04-02,-0.5455308575649722,-0.8658585722919885,1.0,-0.21429051104694113,-0.7320529178698543,-0.0,0.0
2020-04-03,-0.5616139585605235,-0.8561205016357689,1.0,-0.21881815703380592,-0.7712990730643403,-0.0,0.0
2020-04-06,-0.570268795197162,-0.8401555464592714,1.0,-0.21732159912675675,-0.7833606221858371,-0.0,0.0
