Date,IWF,IWM,MTUM,SPY,VLUE,VXX,WRI
2019-09-03,-0.0,-0.19575877776082642,-0.10459211472658718,-0.6945927685635201,-0.18449098794760588,0.0,1.0
2019-09-04,-0.0,-0.17234144848988156,-0.10706324577123126,-0.7051444556143188,-0.200839197517374,0.0,1.0
2019-09-05,-0.0,-0.16004530405994077,-0.09315647325318001,-0.7114479874542603,-0.2134300400766684,0.0,1.0
2019-09-06,-0.0,-0.15550057512424856,-0.10096143412114504,-0.7149119951385723,-0.19890617878768146,0.0,1.0
2019-09-09,-0.0,-0.15394134120660835,-0.10049280333456354,-0.7146516727091158,-0.2018756919870612,0.0,1.0
2019-09-10,-0.0,-0.16549425337113916,-0.08056102681760136,-0.6915001839787017,-0.2269214952057315,0.0,1.0
2019-09-11,-0.0,-0.166706374130948,-0.058023434623464945,-0.6908232440276364,-0.25030863529055036,0.0,1.0
2019-09-12,-0.0,-0.16564895413797584,-0.05874583170932398,-0.689922480620155,-0.2510068857996622,0.0,1.0
2019-09-13,-0.0,-0.1646357328707719,-0.05008673026886383,-0.691608846487424,-0.2619254119687771,0.0,1.0
2019-09-16,-0.0,-0.15992051492505074,-0.047626247354097366,-0.6924057194695236,-0.2599680331763791,0.0,1.0
2019-09-17,-0.0,-0.14622926744989634,-0.04977971665514858,-0.69702401520387,-0.2666076364892882,0.0,1.0
2019-09-18,-0.0,-0.13577795523708802,-0.046899617982863184,-0.7009690717199404,-0.27464226361340727,0.0,1.0
2019-09-19,-0.0,-0.14742268041237114,-0.05403780068728522,-0.6679768041237113,-0.2783290378006873,0.0,1.0
2019-09-20,-0.0,-0.14460136282539068,-0.058016809612863006,-0.6661077792824746,-0.2808409105565228,0.0,1.0
2019-09-23,-0.0,-0.14697914427004946,-0.06177166200817028,-0.6582025370887982,-0.283100408514298,0.0,1.0
2019-09-24,-0.0,-0.1543756145526057,-0.08578085588474199,-0.6280193236714976,-0.2693984865974093,0.0,1.0
2019-09-25,-0.0,-0.14590359902659777,-0.0882039021474619,-0.6361268838321308,-0.2643982410451266,0.0,1.0
2019-09-26,-0.0,-0.13091645831537202,-0.11606604017587724,-0.6604448659367188,-0.2479308561082852,0.0,1.0
2019-09-27,-0.0,-0.11769777969389957,-0.1300280232808795,-0.656822591075663,-0.251088596680319,0.0,1.0
2019-09-30,-0.0,-0.0802006096111027,-0.15534274411465876,-0.657428824661147,-0.26879093797963644,0.0,1.0
2019-10-01,-0.0,-0.07278234530506275,-0.16265685850281264,-0.6558199913457378,-0.27230636088273474,0.0,1.0
2019-10-02,-0.0,-0.08636630626318881,-0.17508212413252985,-0.6510322622751105,-0.2630147714664868,0.0,1.0
2019-10-03,-0.0,-0.13544556171983355,-0.16784414008321777,-0.645002600554785,-0.2188366851595007,0.0,1.0
2019-10-04,-0.0,-0.1501707969800483,-0.17314679837253322,-0.6316877352538021,-0.22075237701529554,0.0,1.0
2019-10-07,-0.0,-0.16889842260357082,-0.18638412203154794,-0.6005156872941585,-0.2109551048708615,0.0,1.0
2019-10-08,-0.0,-0.17531571915003666,-0.20121977500969784,-0.5706004051549503,-0.20794362311969314,0.0,1.0
2019-10-09,-0.0,-0.18178889032091763,-0.20131460239721613,-0.5678137216995317,-0.19712591828843923,0.0,1.0
2019-10-10,-0.0,-0.19961328727541333,-0.2241413022225119,-0.541593343327033,-0.207195463729388,0.0,1.0
2019-10-11,-0.0,-0.20216536283874315,-0.2137269308899166,-0.548817910705796,-0.1963305527942257,0.0,1.0
2019-10-14,-0.0,-0.1998314023863047,-0.21744769150959709,-0.5499308317482275,-0.19431955732318865,0.0,1.0
