Date,IWF,IWM,MTUM,PRSP,SPY,VLUE,VXX
2020-05-22,-0.21547391900244553,-0.6152213055279353,-0.5084786756604229,1.0,-0.3481766144419661,-0.0,0.0
2020-05-26,-0.21781884799827578,-0.612721590602942,-0.5077590387413115,1.0,-0.35583813783070206,-0.0,0.0
2020-05-27,-0.22244974942070375,-0.6043810960823409,-0.5149000377216144,1.0,-0.35267015142533814,-0.0,0.0
2020-05-28,-0.22649791302006195,-0.59956913962569,-0.516143799649926,1.0,-0.3506664871415107,-0.0,0.0
2020-05-29,-0.2297621292529835,-0.5912017456426282,-0.5194903154548639,1.0,-0.35343875434390243,-0.0,0.0
2020-06-01,-0.22985098757780711,-0.5981514914715313,-0.5100374552019618,1.0,-0.3565789119129099,-0.0,0.0
2020-06-02,-0.23328826392644672,-0.6026230394808004,-0.5126284478096268,1.0,-0.3555976203353164,-0.0,0.0
2020-06-03,-0.23288893696422294,-0.6028556748424782,-0.513453581762622,1.0,-0.35506638903161253,-0.0,0.0
2020-06-04,-0.2323142216094937,-0.6026004919849702,-0.5144216473386857,1.0,-0.3538777606574217,-0.0,0.0
2020-06-05,-0.22602554389003138,-0.6065320922177725,-0.5089024786232276,1.0,-0.36446043944149803,-0.0,0.0
2020-06-08,-0.2263451337014182,-0.5859586445815741,-0.5351304536104796,1.0,-0.35907220959185887,-0.0,0.0
2020-06-09,-0.23406789755807028,-0.5791867453570848,-0.5363040771021712,1.0,-0.35765336509827284,-0.0,0.0
2020-06-10,-0.23109220934012353,-0.5871166973669953,-0.5276844728572977,1.0,-0.3629591505038466,-0.0,0.0
2020-06-11,-0.2282070030059306,-0.5964470441682238,-0.5231131692257698,1.0,-0.3602513066320037,-0.0,0.0
2020-06-12,-0.23556276178894744,-0.5852992838805567,-0.5210917443588704,1.0,-0.36038373192811785,-0.0,0.0
2020-06-15,-0.2787426684129606,-0.6253630203291385,-0.5180513638175502,1.0,-0.4207903877911281,-0.004270827401628609,0.0
2020-06-16,-0.28654103828719674,-0.6047267440202981,-0.5141545742224249,1.0,-0.4327337001453944,-0.012743393106594064,0.0
2020-06-17,-0.28368955801576684,-0.5989128269345704,-0.513760423485215,1.0,-0.43219398355010386,-0.017445997097077153,0.0
2020-06-18,-0.2825140189576158,-0.6009507272779027,-0.512538783410663,1.0,-0.4321254732287723,-0.01835985312117503,0.0
2020-06-19,-0.28304250049816393,-0.6022944006376498,-0.5119417005892567,1.0,-0.4316092117623616,-0.0177631017108372,0.0
2020-06-22,-0.2832782965156001,-0.602425415622865,-0.510105898428604,1.0,-0.4329025278979732,-0.018019813254383968,0.0
2020-06-23,-0.28032222253849876,-0.5984173521960662,-0.5096922945546668,1.0,-0.43389029631948994,-0.024195155275967096,0.0
2020-06-24,-0.2783455264880868,-0.5977112926641805,-0.5113439038970652,1.0,-0.4331748697657206,-0.026075322383216148,0.0
2020-06-25,-0.2750603950547108,-0.5973568281938326,-0.5143100753161859,1.0,-0.43106437402302117,-0.024328549097626828,0.0
2020-06-26,-0.27512145231398616,-0.5945339356231711,-0.5137077757890849,1.0,-0.4312906616665246,-0.02633597545384812,0.0
2020-06-29,-0.27625142207053466,-0.5970136518771331,-0.514448236632537,1.0,-0.43407281001137654,-0.022383390216154722,0.0
2020-06-30,-0.27280239350334806,-0.6070380396067816,-0.5103006126228807,1.0,-0.43641544379541247,-0.02285225815643254,0.0
2020-07-01,-0.27046496398166336,-0.6076421514193786,-0.5077019447054468,1.0,-0.43908203069388685,-0.022436718772244523,0.0
2020-07-02,-0.2637956536579816,-0.6101945613835477,-0.503384912959381,1.0,-0.43554443053817277,-0.031545113209693935,0.0
2020-07-06,-0.2665054757502489,-0.6100696913668042,-0.5024605319300242,1.0,-0.43549992888636047,-0.030009955909543452,0.0
2020-07-07,-0.25838477512587826,-0.6209142889653799,-0.4959462919238756,1.0,-0.440190026455779,-0.029272039370750718,0.0
2020-07-08,-0.2583892617449664,-0.6195256512342168,-0.49758275509043337,1.0,-0.4413889204868615,-0.02695939028551928,0.0
2020-07-09,-0.25619082819207917,-0.6206749495351548,-0.49515253177152935,1.0,-0.4410485315440821,-0.03005145992664828,0.0
2020-07-10,-0.2498150571900074,-0.6272691060149093,-0.4885904512604564,1.0,-0.44255391794229787,-0.03701701473851932,0.0
2020-07-13,-0.24481835781801617,-0.6273772918801959,-0.4884124814941351,1.0,-0.44297346543673843,-0.04347454731807311,0.0
2020-07-14,-0.23870875995449373,-0.6315699658703071,-0.486518771331058,1.0,-0.4439988623435722,-0.04334470989761092,0.0
2020-07-15,-0.2414813129302008,-0.6279082996757495,-0.48660333352295354,1.0,-0.44373968940212755,-0.04457022583764719,0.0
2020-07-16,-0.23699339708561018,-0.6399419398907104,-0.47848360655737704,1.0,-0.4419968123861566,-0.048668032786885244,0.0
2020-07-17,-0.23437722217481582,-0.6381090536735217,-0.4775435901811873,1.0,-0.4423870068549649,-0.051995335210626624,0.0
2020-07-20,-0.24060600873063426,-0.6346828725498588,-0.4802704784729949,1.0,-0.4436931153527918,-0.053895974207538014,0.0
2020-07-21,-0.21467329220927575,-0.6435058259081562,-0.46878569796664377,1.0,-0.4553918208818825,-0.07348069453963901,0.0
2020-07-22,-0.21820986772562354,-0.6402879753164015,-0.4717309944861869,1.0,-0.45467531354455337,-0.07196526012056109,0.0
2020-07-23,-0.21999542569615188,-0.6405168963348391,-0.4720395677282864,1.0,-0.4552004116873464,-0.07118760363657156,0.0
2020-07-24,-0.22337290802460302,-0.6389071663567444,-0.4734944929194678,1.0,-0.4559862680589329,-0.06903161207266485,0.0
2020-07-27,-0.22782021571825023,-0.6387148456498727,-0.47126140817669443,1.0,-0.46036105627557006,-0.06285583497839957,0.0
2020-07-28,-0.22965507370831542,-0.636152855302705,-0.4699298697581223,1.0,-0.46208673250322024,-0.06463432088163733,0.0
2020-07-29,-0.23531268834486121,-0.6286772091955342,-0.4679849611112706,1.0,-0.4634216341876417,-0.07462044026059753,0.0
2020-07-30,-0.21807371505861137,-0.6316501352569883,-0.4466580252479712,1.0,-0.43056807935076646,-0.0909039675383228,0.0
2020-07-31,-0.2174648363728613,-0.6321278574851312,-0.4465992051188094,1.0,-0.4308143304112524,-0.09174958423767512,0.0
2020-08-03,-0.21276955602536998,-0.6345595489781536,-0.44780831571529245,1.0,-0.42878083157152924,-0.09496828752642705,0.0
2020-08-04,-0.21207936418465698,-0.6332788456118595,-0.4465644552167296,1.0,-0.4287244236514289,-0.09768333239388986,0.0
2020-08-05,-0.21370195017472662,-0.6325949723819186,-0.4462011047232556,1.0,-0.43019389020403564,-0.09545147108555968,0.0
2020-08-06,-0.21371808600574876,-0.6296004057938341,-0.44710590091867214,1.0,-0.43008510398467004,-0.09750324071464803,0.0
2020-08-07,-0.2179722591033645,-0.6295940563292748,-0.4471030255091951,1.0,-0.4282606853300941,-0.10200853131444391,0.0
2020-08-10,-0.21846484165324742,-0.6292058649038054,-0.4471565386897195,1.0,-0.42820012995451595,-0.10204254597847275,0.0
2020-08-11,-0.21737288135593222,-0.6284463276836159,-0.44593220338983053,1.0,-0.4281638418079097,-0.10494350282485877,0.0
