Date,IWF,IWM,MTUM,SPY,VLUE,VXX,WWW
2019-03-19,-0.0,-1.0182233146067416,-0.0,-0.7934691011235955,-0.6995435393258427,0.0,1.0
2019-03-20,-0.0,-1.0214210341188885,-0.0,-0.7937390080900457,-0.702286317270489,0.0,1.0
2019-03-21,-0.0,-1.0179510553257136,-0.0,-0.804817333987799,-0.6832971039899026,0.0,1.0
2019-03-22,-0.0,-1.0091778742631226,-0.0,-0.8449292244696248,-0.6758445409297893,0.0,1.0
2019-03-25,-0.0,-0.9581528573424619,-0.0,-0.8609403381305016,-0.6739904988123516,0.0,1.0
2019-03-26,-0.0,-0.966455918510713,-0.0,-0.8615033368458025,-0.6845100105374078,0.0,1.0
2019-03-27,-0.0,-0.9478556650419049,-0.0,-0.8722516393730056,-0.6865729214152961,0.0,1.0
2019-03-28,-0.0,-0.9443586323106088,-0.0,-0.866144772870884,-0.6999929790072316,0.0,1.0
2019-03-29,-0.0,-0.9417421407839983,-0.0,-0.8617687169982865,-0.6933244745952373,0.0,1.0
2019-04-01,-0.0,-0.9495366322783704,-0.0,-0.8581919916069244,-0.6893862563385208,0.0,1.0
2019-04-02,-0.0,-0.9642034749842998,-0.0,-0.8780266555020585,-0.6467099295234108,0.0,1.0
2019-04-03,-0.0,-0.9667840089226587,-0.0,-0.866787494336203,-0.6518420410581716,0.0,1.0
2019-04-04,-0.0,-0.9670811997073884,-0.0,-0.8660953774340753,-0.6503291880029262,0.0,1.0
2019-04-05,-0.0,-0.966048522030117,-0.0,-0.8662506971556051,-0.6535136642498606,0.0,1.0
2019-04-08,-0.0,-0.9616347826086957,-0.0,-0.8698782608695652,-0.6467478260869566,0.0,1.0
2019-04-09,-0.0,-0.9509574802050995,-0.0,-0.9009382957201159,-0.6361924029439464,0.0,1.0
2019-04-10,-0.0,-0.952261481636351,-0.0,-0.9023276883406509,-0.6299393685971147,0.0,1.0
2019-04-11,-0.0,-0.938626774069812,-0.0,-0.9254454789552603,-0.6230777277957945,0.0,1.0
2019-04-12,-0.0,-0.9408791438630738,-0.0,-0.9233799281904695,-0.6216404643218182,0.0,1.0
2019-04-15,-0.0,-0.9425929157215145,-0.0,-0.9217937532716802,-0.6254056883615424,0.0,1.0
2019-04-16,-0.0,-0.942811256197193,-0.0,-0.9255638572725369,-0.6230011870679422,0.0,1.0
2019-04-17,-0.0,-0.9457045153185846,-0.0,-0.9267220322423058,-0.6170004885197851,0.0,1.0
2019-04-18,-0.0,-0.9318070775458923,-0.0,-0.9284916591051859,-0.6295805123193969,0.0,1.0
2019-04-22,-0.0,-0.9316550540947447,-0.0,-0.9338608592136131,-0.6357620531493996,0.0,1.0
2019-04-23,-0.0,-0.9538752495359506,-0.0,-0.922214828564424,-0.6261688789269079,0.0,1.0
2019-04-24,-0.0,-0.9341719077568134,-0.0,-0.925192173305381,-0.6346960167714885,0.0,1.0
2019-04-25,-0.0,-0.9726874341814722,-0.0,-0.851615314060536,-0.5727825525698951,0.0,1.0
2019-04-26,-0.0,-0.9656276613864759,-0.0,-0.8485436893203885,-0.5924033384431954,0.0,1.0
