Date,IWF,IWM,LANC,MTUM,SDY,SPY,USMV,VLUE,XLB,XLC,XLE,XLF,XLI,XLK,XLP,XLRE,XLU,XLV,XLY
2019-05-15,-0.0,-0.0,1.0,-0.0,-0.5626805116215101,-0.0,-0.26567872369687806,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.5146128455508183,-0.18955439416861505,-0.9057557419887223,-0.0,-0.0
2019-05-16,-0.0,-0.0,1.0,-0.0,-0.554479001448176,-0.0,-0.2813254258327012,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.5235156196124405,-0.19215916143714226,-0.8965933383904557,-0.0,-0.0
2019-05-17,-0.0,-0.0,1.0,-0.0,-0.5731200664727877,-0.0,-0.25526242902645063,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.5649148317407562,-0.21382080044315194,-0.8550062318238472,-0.0,-0.0
2019-05-20,-0.0,-0.0,1.0,-0.0,-0.5530421487890476,-0.0,-0.24719413461204348,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.5869210187984294,-0.2020918030508357,-0.8855067931477815,-0.0,-0.0
2019-05-21,-0.0,-0.0,1.0,-0.0,-0.5535423523298112,-0.0,-0.2666551186558115,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.5649402390438246,-0.18874068941624805,-0.8905248570933656,-0.0,-0.0
2019-05-22,-0.0,-0.0,1.0,-0.0,-0.5304751350602577,-0.0,-0.2587269704945283,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.597035600498684,-0.18662557140878236,-0.8902202521124809,-0.0,-0.0
2019-05-23,-0.0,-0.0,1.0,-0.0,-0.524230449251248,-0.0,-0.2542983915696062,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.6095049916805324,-0.18746533555185801,-0.8909456461453135,-0.0,-0.0
2019-05-24,-0.0,-0.0,1.0,-0.0,-0.5287508261731658,-0.0,-0.3659164434549692,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.5777298500713118,-0.17337461300309598,-0.8328173374613004,-0.0,-0.0
2019-05-28,-0.0,-0.0,1.0,-0.0,-0.5365227051798361,-0.0,-0.35807526732398276,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.5736008887654492,-0.1752534370226357,-0.8283224552145535,-0.0,-0.0
2019-05-29,-0.0,-0.0,1.0,-0.0,-0.5611286341195831,-0.0,-0.3262822270981898,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.5279758639605047,-0.18252879868348876,-0.8304991771804718,-0.0,-0.0
