Date,IWF,IWM,MTUM,SPY,TRTN,VLUE,VXX
2019-11-05,-0.0,-0.483113285394318,-0.148856536602617,-0.5893846516562536,1.0,-0.7257161381586702,0.0
2019-11-06,-0.0,-0.4799159962139139,-0.1532773308092759,-0.5896237576904875,1.0,-0.7350331282536677,0.0
2019-11-07,-0.0,-0.45228166681453885,-0.16070742022299117,-0.5997101706444267,1.0,-0.7447135717031911,0.0
2019-11-08,-0.0,-0.448115581608787,-0.16552683778902805,-0.6016520117239542,1.0,-0.7453000562512953,0.0
2019-11-11,-0.0,-0.43905775980013084,-0.18398667539111294,-0.5988340967223841,1.0,-0.7523645232288383,0.0
2019-11-12,-0.0,-0.43085755078973204,-0.18569856331241263,-0.6018322972128857,1.0,-0.7561200511615456,0.0
2019-11-13,-0.0,-0.4386513207320371,-0.24650659614748927,-0.5696727469423325,1.0,-0.7502479189830814,0.0
2019-11-14,-0.0,-0.43698716600042076,-0.24859487241140935,-0.5648162063057919,1.0,-0.7552523218418442,0.0
2019-11-15,-0.0,-0.4351971606460734,-0.2602039281739706,-0.5555087677083647,1.0,-0.7568803200288747,0.0
2019-11-18,-0.0,-0.4428181518250802,-0.26195974925767074,-0.5468342281275307,1.0,-0.7477280225548124,0.0
2019-11-19,-0.0,-0.46295283248237296,-0.263250668611719,-0.5557986870897155,1.0,-0.7571115973741794,0.0
2019-11-20,-0.0,-0.46519968390979277,-0.26448240228557535,-0.5553157862743907,1.0,-0.7543310437055498,0.0
2019-11-21,-0.0,-0.4458755739068807,-0.30779897081933877,-0.5411210057621791,1.0,-0.7865528610606107,0.0
2019-11-22,-0.0,-0.43221410291986556,-0.3072179570190855,-0.55862855733358,1.0,-0.7852187586717233,0.0
2019-11-25,-0.0,-0.4323848907542279,-0.3094679669176645,-0.5612578693988397,1.0,-0.7829280335761016,0.0
2019-11-26,-0.0,-0.4402157259300116,-0.30704173561316417,-0.5322056750628179,1.0,-0.7848256419684991,0.0
2019-11-27,-0.0,-0.4661849799467287,-0.3067385114655727,-0.5172213207604935,1.0,-0.771453938707406,0.0
2019-11-29,-0.0,-0.46272855133614627,-0.30560141869993274,-0.5140035467498318,1.0,-0.7752094416926557,0.0
2019-12-02,-0.0,-0.4743063485694886,-0.3426437455634085,-0.5010647819511743,1.0,-0.7683096200734545,0.0
2019-12-03,-0.0,-0.472089020041805,-0.32755440796753965,-0.5037501536948236,1.0,-0.7705028894626829,0.0
2019-12-04,-0.0,-0.48179686535850913,-0.32719363198815254,-0.5033938047636678,1.0,-0.7729236085400469,0.0
2019-12-05,-0.0,-0.4713357984028835,-0.34984308485846566,-0.4889537954820868,1.0,-0.7970667743839916,0.0
2019-12-06,-0.0,-0.4920585194699414,-0.3599198020112152,-0.5036496350364964,1.0,-0.7770746530497165,0.0
2019-12-09,-0.0,-0.4602392009669827,-0.3870793307462307,-0.5363254659965647,1.0,-0.7972199249316115,0.0
2019-12-10,-0.0,-0.45442359249329756,-0.49607908847184984,-0.6126340482573727,1.0,-0.7880697050938338,0.0
2019-12-11,-0.0,-0.44492505784126346,-0.5036716628105825,-0.6096301512255642,1.0,-0.7948898501156825,0.0
2019-12-12,-0.0,-0.4421567969955067,-0.5031520354100999,-0.6114278049761921,1.0,-0.7964925222989739,0.0
2019-12-13,-0.0,-0.446924569975236,-0.5088012850545479,-0.6062512549360819,1.0,-0.7844856435312229,0.0
2019-12-16,-0.0,-0.4477890250399574,-0.5261720831113479,-0.6017581246670218,1.0,-0.7540623335109218,0.0
2019-12-17,-0.0,-0.4229659549913445,-0.5785614880689726,-0.6420012898408065,1.0,-0.7508231220936153,0.0
2019-12-18,-0.0,-0.44116928020116647,-0.6185520203960465,-0.6704152551252052,1.0,-0.762302238675654,0.0
2019-12-19,-0.0,-0.4541000244986526,-0.6248206348650824,-0.658663773492458,1.0,-0.7622230777307248,0.0
2019-12-20,-0.0,-0.44880212334986386,-0.6162254662289586,-0.6611021862121953,1.0,-0.7661870503597122,0.0
2019-12-23,-0.0,-0.450686990875083,-0.6213683879313359,-0.6535678075726322,1.0,-0.7704786211236583,0.0
2019-12-24,-0.0,-0.449454316496432,-0.6259269623618301,-0.6507975374282915,1.0,-0.77179236043095,0.0
