Date,IWF,IWM,MTUM,SPY,UHS,VLUE,VXX
2020-01-17,-0.0,-0.36235855099281195,-1.060031314497189,-0.7957084904988969,1.0,-0.34036723364885063,0.0
2020-01-21,-0.0,-0.3612287758516356,-1.060442103014986,-0.7980279784999822,1.0,-0.3399067383333927,0.0
2020-01-22,-0.0,-0.36048415806336775,-1.0620861516553934,-0.7993236027055892,1.0,-0.33812744749021006,0.0
2020-01-23,-0.0,-0.35734160958904104,-1.06167950913242,-0.8022973744292237,1.0,-0.34606877853881274,0.0
2020-01-24,-0.0,-0.3592472235117666,-1.0690283183944578,-0.8053065742956111,1.0,-0.33749955361925504,0.0
2020-01-27,-0.0,-0.34227590138235714,-1.0778822858771555,-0.7951760011400884,1.0,-0.34744192674932306,0.0
2020-01-28,-0.0,-0.35762741964127154,-1.0829692772154147,-0.7839460131415379,1.0,-0.32722429408630793,0.0
2020-01-29,-0.0,-0.36180762147612977,-1.0833333333333333,-0.7734098314208812,1.0,-0.3230627567644142,0.0
2020-01-30,-0.0,-0.3612606232294618,-1.0820467422096318,-0.776416430594901,1.0,-0.3213881019830028,0.0
2020-01-31,-0.0,-0.3757866132723112,-1.0823441075514875,-0.7881864988558352,1.0,-0.3291976544622426,0.0
2020-02-03,-0.0,-0.3709238650415121,-1.0648295354177706,-0.7712771595124536,1.0,-0.3259141494435612,0.0
2020-02-04,-0.0,-0.3618040873854827,-1.053276955602537,-0.7728329809725158,1.0,-0.33569415081042986,0.0
2020-02-05,-0.0,-0.36501382230465057,-1.045771074640445,-0.7651607936452391,1.0,-0.3234069356475487,0.0
2020-02-06,-0.0,-0.3665075800112297,-1.0413742279618192,-0.7707397529477822,1.0,-0.330607804604155,0.0
2020-02-07,-0.0,-0.3716718049327354,-1.030794562780269,-0.7686729260089685,1.0,-0.3322589686098654,0.0
2020-02-10,-0.0,-0.37378555645189576,-1.0321980989793413,-0.769211883132826,1.0,-0.33222265090666764,0.0
2020-02-11,-0.0,-0.3722420676612733,-1.0277719408839392,-0.7654969531414162,1.0,-0.33662534145828954,0.0
2020-02-12,-0.0,-0.371955391351943,-0.961035851122058,-0.7323139025725233,1.0,-0.35560344827586204,0.0
2020-02-13,-0.0,-0.3707942164051257,-0.9744055369012539,-0.7292537517988076,1.0,-0.351812512848626,0.0
2020-02-14,-0.0,-0.37141099261689914,-0.9707068635493575,-0.7294913863822806,1.0,-0.34645884604867383,0.0
2020-02-18,-0.0,-0.37401211125936573,-0.963289883335044,-0.723733278593178,1.0,-0.3602244346368333,0.0
2020-02-19,-0.0,-0.36356821589205396,-0.9575098814229248,-0.7284312389259915,1.0,-0.35791195311435187,0.0
2020-02-20,-0.0,-0.36356836880397086,-0.9570272659277893,-0.7217651458489154,1.0,-0.3574148364724281,0.0
2020-02-21,-0.0,-0.3735251113604679,-0.9571899758577305,-0.7139311095242953,1.0,-0.35570743649903086,0.0
2020-02-24,-0.0,-0.3873084587370302,-0.9751941180512609,-0.7190613619185048,1.0,-0.35418813990242565,0.0
2020-02-25,-0.0,-0.42328799015531976,-0.9612864602388,-0.6197492267269764,1.0,-0.3215818006452257,0.0
2020-02-26,-0.0,-0.4135842456435836,-0.9261190645850877,-0.601315022348902,1.0,-0.29792058042365743,0.0
2020-02-27,-0.0,-0.41061912605367695,-0.9164163679230048,-0.6110841972677066,1.0,-0.29157381390692116,0.0
2020-02-28,-0.0,-0.4422203688258734,-0.8331016587897321,-0.5318320822907978,1.0,-0.28183980477558457,0.0
2020-03-02,-0.0,-0.45781749356169904,-0.8475596512457725,-0.5191287349902262,1.0,-0.2782587110986999,0.0
2020-03-03,-0.0,-0.4730830985488806,-0.7937835135872034,-0.4921990972159108,1.0,-0.2704111000030295,0.0
2020-03-04,-0.0,-0.47298075465979694,-0.795120472798909,-0.4912562509471132,1.0,-0.2714350659190786,0.0
2020-03-05,-0.0,-0.49973311191507025,-0.7456556550619773,-0.46272463080481585,1.0,-0.25730976810390843,0.0
2020-03-06,-0.0,-0.5558889281091893,-0.7114072243793388,-0.4415813625132369,1.0,-0.23261560183551006,0.0
2020-03-09,-0.0,-0.5554287386596429,-0.7129060579455663,-0.43582089552238806,1.0,-0.22238805970149253,0.0
2020-03-10,-0.0,-0.4370425403114853,-0.6419569643938143,-0.44271091299323095,1.0,-0.22992680644983762,0.0
2020-03-11,-0.0,-0.47469912102772144,-0.6286139283299527,-0.39999999999999997,1.0,-0.20121703853955372,0.0
2020-03-12,-0.0,-0.4598467802421515,-0.6156916318439944,-0.4009161041465767,1.0,-0.20221257902067932,0.0
2020-03-13,-0.07110243011516412,-0.3865608036121962,-0.5293237278676881,-0.3739028968596215,1.0,-0.17576480137994013,0.0
2020-03-16,-0.039439923759255195,-0.4628448549715319,-0.4948806294748675,-0.3453559123231435,1.0,-0.1010678591501112,0.0
2020-03-17,-0.20002077058884618,-0.4173330563921487,-0.4577058884619379,-0.32991484058573056,1.0,-0.19132308650950255,0.0
2020-03-18,-0.193760556892051,-0.4466908942007473,-0.3913343911552439,-0.33426319291600554,1.0,-0.19319752264933204,0.0
2020-03-19,-0.18714550755367082,-0.5215478399151868,-0.4253379273787437,-0.35494301616750595,1.0,-0.16146302676914923,0.0
2020-03-20,-0.27449739277210117,-0.8318111945022153,-0.4269524067878349,-0.4393103656147331,1.0,-0.04159508092955963,0.0
2020-03-23,-0.2811489906690248,-0.8097517838629017,-0.45737025065560777,-0.44928950417759345,1.0,-0.05174727084222723,0.0
2020-03-24,-0.2830511060259344,-0.8054004576659038,-0.4540961098398169,-0.44744469870327996,1.0,-0.061083142639206715,0.0
2020-03-25,-0.2826983098757435,-0.8008951180731407,-0.38195630410458753,-0.43669395206407163,1.0,-0.042223661739591314,0.0
2020-03-26,-0.2708855408955043,-0.8036291174783371,-0.4307539023580206,-0.46312007487696627,1.0,-0.050843875486851244,0.0
2020-03-27,-0.2674221468724904,-0.7992921090984801,-0.4076023913625412,-0.46298444424615565,1.0,-0.03700068409624937,0.0
2020-03-30,-0.25718011796437357,-0.8012389223154213,-0.41797326536056195,-0.4629360680518094,1.0,-0.02457097127952814,0.0
2020-03-31,-0.2772012152934452,-0.7949041903558643,-0.41792257016514756,-0.48614745961555816,1.0,-0.03197665673976476,0.0
2020-04-01,-0.2799615627158344,-0.7970931803849736,-0.4046725323563857,-0.48728266418425875,1.0,-0.03387285667097085,0.0
2020-04-02,-0.27615816495031076,-0.807037559672141,-0.4046897048668448,-0.48818566667667457,1.0,-0.026330801333053114,0.0
2020-04-03,-0.27464324259503536,-0.8113982491905504,-0.4050845425110924,-0.480603189830915,1.0,-0.026232162129751768,0.0
2020-04-06,-0.27275175819242853,-0.8046984887026785,-0.40523716893610656,-0.47984438126589857,1.0,-0.030106239712703875,0.0
2020-04-07,-0.2690727175272467,-0.7987612411410874,-0.40039306771484723,-0.47909594425585134,1.0,-0.030492525757846466,0.0
2020-04-08,-0.2656561746225544,-0.8010184330424943,-0.3907268991393943,-0.47806795509365413,1.0,-0.042404931359995235,0.0
2020-04-09,-0.26416557318382444,-0.8127162113801741,-0.3912978647262316,-0.47712632709054037,1.0,-0.036919957055946556,0.0
2020-04-13,-0.29462950780455716,-0.7443334728784163,-0.4135817235811255,-0.48839782309670476,1.0,-0.04930925183900485,0.0
2020-04-14,-0.29242460507419815,-0.7497905696505506,-0.40913714696026815,-0.4892891335567257,1.0,-0.051220679751077074,0.0
2020-04-15,-0.2958835160884415,-0.7496854215351428,-0.4126670261849122,-0.49095212415363404,1.0,-0.04676733177542094,0.0
2020-04-16,-0.29730943046119773,-0.7499176967048754,-0.4152874629635172,-0.4913656361296501,1.0,-0.03896686918265346,0.0
2020-04-17,-0.29243335427699485,-0.7651617149866858,-0.4031056458127636,-0.48960296801603687,1.0,-0.04161804745235317,0.0
