Date,IWF,IWM,MTUM,SMFG,SPY,VLUE,VXX
2020-02-07,-0.09015306466476365,-0.13456654154772874,-0.20592928906969946,1.0,-0.5063720752511743,-0.31062462070980645,0.0
2020-02-10,-0.09105815233260708,-0.13196019855798385,-0.20529637699063363,1.0,-0.5071090047393365,-0.3107073066642708,0.0
2020-02-11,-0.08735642498205314,-0.13231335247666906,-0.20306891600861451,1.0,-0.5072011844938981,-0.3134422110552764,0.0
2020-02-12,-0.08538308033812418,-0.133254108836521,-0.20581178950200676,1.0,-0.5065135989596179,-0.3112177403080787,0.0
2020-02-13,-0.0753949526955662,-0.1388570529674824,-0.21782511966561047,1.0,-0.5112249713476708,-0.3039169419537518,0.0
2020-02-14,-0.0867387232890313,-0.12755827334882774,-0.20384953855179727,1.0,-0.5231852336575129,-0.3151386601078593,0.0
2020-02-18,-0.08192765650369836,-0.1314495760418546,-0.1975239040230922,1.0,-0.5162141439653617,-0.32795868663178784,0.0
2020-02-19,-0.07496489559269828,-0.13416677990669024,-0.20340173030755992,1.0,-0.5169860035330888,-0.3353263577478824,0.0
2020-02-20,-0.059021199819576,-0.13579161028416778,-0.21443391971132159,1.0,-0.51084799278304,-0.3352277852954443,0.0
2020-02-21,-0.06320215194737674,-0.12945590994371484,-0.2153303646104116,1.0,-0.5164221614412622,-0.3360157327245191,0.0
2020-02-24,-0.05414272139010815,-0.13392008688175935,-0.21774740938504006,1.0,-0.521901443504231,-0.3348567808498122,0.0
2020-02-25,-0.06992016192510964,-0.15072528955358147,-0.22910154053750142,1.0,-0.4705273810862476,-0.3286854829641291,0.0
2020-02-26,-0.07809406485107132,-0.14169123146640855,-0.2083241673632804,1.0,-0.46271283382462935,-0.30901051520084477,0.0
2020-02-27,-0.09564223209181653,-0.1339870718086276,-0.19788048018996526,1.0,-0.47025196781144185,-0.3009322369288949,0.0
2020-02-28,-0.10062772226492442,-0.16374156631650866,-0.16826799897514733,1.0,-0.41307968229567,-0.28939277478862413,0.0
2020-03-02,-0.13750080116221933,-0.12763048262012092,-0.14929390903070053,1.0,-0.42844019056978655,-0.2935458371611084,0.0
2020-03-03,-0.1312643250944682,-0.17636127113919345,-0.08544467158107745,1.0,-0.39689029300625656,-0.27491792108034446,0.0
2020-03-04,-0.1174079093261057,-0.18627571762966613,-0.09186481048006243,1.0,-0.3875405527493737,-0.27019424253624086,0.0
2020-03-05,-0.1225581535132536,-0.23593997315221094,-0.04193464366572499,1.0,-0.35312856885255756,-0.25000500891587024,0.0
2020-03-06,-0.127867340391402,-0.24967917869746553,-0.04078440808469683,1.0,-0.34201555983317294,-0.24478665383381457,0.0
2020-03-09,-0.12473326086081249,-0.25286870394975236,-0.0414502556669485,1.0,-0.3480090188025929,-0.24604420823770984,0.0
2020-03-10,-0.1519485604764751,-0.2555283061640871,-0.10605279970323352,1.0,-0.29357212043773057,-0.2537971683531521,0.0
2020-03-11,-0.14549629903016137,-0.2647064854114125,-0.10649771380533514,1.0,-0.2857230731377253,-0.2479547271944393,0.0
2020-03-12,-0.16883661488078597,-0.2082950597068573,-0.07460361835536562,1.0,-0.29398138903310833,-0.2511482087942809,0.0
2020-03-13,-0.17927705894434176,-0.2179708359005956,-0.12316697473813926,1.0,-0.2759704251386321,-0.2574245224892175,0.0
2020-03-16,-0.15126652859646325,-0.2718257129201848,-0.11667595985343317,1.0,-0.25384339652700333,-0.197805480324996,0.0
2020-03-17,-0.16693138812086983,-0.2234641253407063,-0.12147773398435201,1.0,-0.2515442084828519,-0.1974625958389709,0.0
2020-03-18,-0.17003440230930442,-0.22009569377990432,-0.1366799794377002,1.0,-0.2537862311677014,-0.19652813476214956,0.0
2020-03-19,-0.16594138102334824,-0.23634376552409342,-0.13983109786388476,1.0,-0.25700943864878295,-0.18795827123695977,0.0
2020-03-20,-0.16606699135274824,-0.24858363979723685,-0.13507603617930622,1.0,-0.2558195010436338,-0.18230792167776563,0.0
2020-03-23,-0.16721363330829148,-0.2646989047487248,-0.11480368510537343,1.0,-0.25246134988731167,-0.17781028824483017,0.0
2020-03-24,-0.17127955905885142,-0.2656314822497481,-0.11068966198463027,1.0,-0.24980738457891305,-0.17811493707896245,0.0
2020-03-25,-0.17370521156144297,-0.2698547730449049,-0.14253306596990137,1.0,-0.2548864718154382,-0.18448076806222274,0.0
2020-03-26,-0.17664906851143883,-0.2696765580435706,-0.13680037219086918,1.0,-0.2541011792786779,-0.18552905718389062,0.0
2020-03-27,-0.17541361676526623,-0.2667000902436579,-0.12770480296801365,1.0,-0.2522611049834554,-0.1833350045121829,0.0
2020-03-30,-0.1672796322206676,-0.26344193483909656,-0.13823705776534082,1.0,-0.25254847091744953,-0.17731361183290026,0.0
2020-03-31,-0.1569514772138272,-0.2758462581236793,-0.13865077150033892,1.0,-0.24444798851720428,-0.1776444320401898,0.0
2020-04-01,-0.15084012476104236,-0.26242076667672803,-0.17699969815876848,1.0,-0.24191568568266425,-0.18013884696649562,0.0
2020-04-02,-0.16013822583544735,-0.23877913828575992,-0.1723028983480814,1.0,-0.24928589976629445,-0.17697700896869942,0.0
2020-04-03,-0.15996568030807912,-0.24041742322964263,-0.1724364985932917,1.0,-0.24528603068818963,-0.177205339505557,0.0
2020-04-06,-0.16097989498273002,-0.24305708067961745,-0.17198075348892924,1.0,-0.24485395411983146,-0.17563439615069779,0.0
2020-04-07,-0.1552486955141559,-0.24196972402436365,-0.17118028688768525,1.0,-0.24317996944626313,-0.17245005257623555,0.0
2020-04-08,-0.15148262977979168,-0.24318308291597104,-0.15996899594562367,1.0,-0.2444351697273233,-0.18836950473010572,0.0
2020-04-09,-0.16021475552737935,-0.22127347650368492,-0.17027894444884698,1.0,-0.2467113083445598,-0.1826412552500198,0.0
2020-04-13,-0.16092864783487185,-0.2194247454538251,-0.1711104948298403,1.0,-0.24670179469910064,-0.18273840180658452,0.0
2020-04-14,-0.16962974721219096,-0.2028651930632168,-0.18685265288305092,1.0,-0.24635898249930555,-0.17849914679153936,0.0
2020-04-15,-0.16235745961355716,-0.20682214127336077,-0.18152122267975926,1.0,-0.24621872030408615,-0.18280804561292366,0.0
2020-04-16,-0.1581314261941082,-0.2112843473265051,-0.17863581433127956,1.0,-0.2467460427521445,-0.18630267250430887,0.0
2020-04-17,-0.1508348867647642,-0.22228612223852773,-0.16723515646690199,1.0,-0.24941498433347872,-0.19335263554515528,0.0
2020-04-20,-0.15226997998533578,-0.22035947129580086,-0.16953015080355904,1.0,-0.247825139210907,-0.1916453639300081,0.0
2020-04-21,-0.15526743586693628,-0.22403949090044012,-0.17122635898655883,1.0,-0.24582689028983784,-0.18609492089925062,0.0
2020-04-22,-0.15229049173839915,-0.22671415850400714,-0.1682200455130108,1.0,-0.24598792915800932,-0.1856139309389532,0.0
2020-04-23,-0.1492094861660079,-0.22928853754940712,-0.1667588932806324,1.0,-0.2450197628458498,-0.18602766798418974,0.0
2020-04-24,-0.14637380033640052,-0.2360740081131889,-0.1655684179281686,1.0,-0.24454338577223708,-0.1862669437023845,0.0
2020-04-27,-0.14735050179140521,-0.23490172014489596,-0.16579900631445593,1.0,-0.24468021932342285,-0.18670203289851342,0.0
2020-04-28,-0.1451114719043282,-0.23852611570902468,-0.16560408664317114,1.0,-0.24365421930067718,-0.18704708351482993,0.0
2020-04-29,-0.13732903149185485,-0.24492785178440646,-0.16143781793709544,1.0,-0.24136497694028225,-0.19431523524870842,0.0
2020-04-30,-0.13712896723449663,-0.23712501482154855,-0.1643413303821983,1.0,-0.2453855578830876,-0.1922256037310778,0.0
2020-05-01,-0.136930280340597,-0.23584961574174684,-0.16494458383547028,1.0,-0.24564869510243595,-0.19222790761996958,0.0
2020-05-04,-0.1378179159338379,-0.23690295041795942,-0.16265834041459992,1.0,-0.2456573720925637,-0.19311108037072902,0.0
2020-05-05,-0.13682629404905428,-0.23635788683123504,-0.1575982765776627,1.0,-0.24849299365575034,-0.19712631183667015,0.0
2020-05-06,-0.13638429466279367,-0.23625190191080284,-0.15738929397118975,1.0,-0.24864149228367616,-0.19736400102752583,0.0
2020-05-07,-0.1388608821145444,-0.23737223968526974,-0.15732558369412647,1.0,-0.24794891564359567,-0.1954609256074175,0.0
2020-05-08,-0.13999881490845167,-0.2332457682355962,-0.1568863694720417,1.0,-0.24800015801220646,-0.1970412214343558,0.0
2020-05-11,-0.1414975120448622,-0.22855619619303374,-0.15899218071242396,1.0,-0.2499210172972119,-0.19562040913040046,0.0
2020-05-12,-0.1424310658133839,-0.2286284269574149,-0.16036580548313187,1.0,-0.24974322509283403,-0.1940230702378131,0.0
