Date,IWF,IWM,MTUM,PFL,SPY,VLUE,VXX
2019-09-16,-0.0,-0.0,-0.14568920506461297,1.0,-0.2789126745855633,-0.20703889831614672,0.0
2019-09-17,-0.0,-0.005739816717216189,-0.14449010207742227,1.0,-0.2765874180608551,-0.20381241235365097,0.0
2019-09-18,-0.0,-0.0,-0.14337378838478457,1.0,-0.27853710189785774,-0.2071515842632565,0.0
2019-09-19,-0.0,-0.0,-0.1438934533124674,1.0,-0.27313184663536777,-0.21312597809076683,0.0
2019-09-20,-0.0,-0.0,-0.1380045572916667,1.0,-0.2761067708333334,-0.21347656250000002,0.0
2019-09-23,-0.0,-0.0,-0.13358450120982804,1.0,-0.2798843761671999,-0.21044511927767587,0.0
2019-09-24,-0.0,-0.0,-0.1379584938163262,1.0,-0.2773796174410479,-0.2097898688508605,0.0
2019-09-25,-0.0,-0.0,-0.13694536477619698,1.0,-0.2765217956213863,-0.2106639381537062,0.0
2019-09-26,-0.0,-0.0,-0.13227675969695007,1.0,-0.2787185132422456,-0.20786116687172176,0.0
2019-09-27,-0.0,-0.0,-0.13489008776874145,1.0,-0.26963523633142766,-0.20591029873580804,0.0
2019-09-30,-0.0,-0.0,-0.12594960088656185,1.0,-0.2732602026885952,-0.20688049082119397,0.0
2019-10-01,-0.0,-0.0,-0.13954271421241662,1.0,-0.2585620831195485,-0.2052815546434069,0.0
2019-10-02,-0.0,-0.0,-0.1401378824959611,1.0,-0.26082505558488095,-0.1986019802613689,0.0
2019-10-03,-0.0,-0.0,-0.13870356511631612,1.0,-0.26170724328455647,-0.191885737942455,0.0
2019-10-04,-0.0,-0.0,-0.1402955099698752,1.0,-0.26114538006662524,-0.19246401759671017,0.0
2019-10-07,-0.0,-0.0,-0.13271899668958492,1.0,-0.26624968169085816,-0.19257703081232494,0.0
2019-10-08,-0.0,-0.0,-0.1279484322775744,1.0,-0.2707305427343626,-0.19291739614833678,0.0
2019-10-09,-0.0,-0.0,-0.11819765600253407,1.0,-0.27660753880266076,-0.18897687678175484,0.0
2019-10-10,-0.0,-0.0,-0.1365498479756761,1.0,-0.2608417346775484,-0.2028804608737398,0.0
2019-10-11,-0.0,-0.0,-0.16400816024930523,1.0,-0.23357910462146403,-0.20876102356512938,0.0
