Date,FTAI,IWF,IWM,MTUM,SPY,VLUE,VXX
2019-07-17,1.0,-0.0,-0.29981834195750307,-0.0,-0.9643840140922604,-0.48819222723769684,0.0
2019-07-18,1.0,-0.0,-0.2986634398547935,-0.0,-0.9661459765689456,-0.4852868379077059,0.0
2019-07-19,1.0,-0.0,-0.3033593578183418,-0.002281724213767319,-0.9632449967011216,-0.480206729711898,0.0
2019-07-22,1.0,-0.0,-0.31389323023772314,-0.005785418551726029,-0.9559101752076993,-0.46628828384195664,0.0
2019-07-23,1.0,-0.0,-0.3109395532194481,-0.005091984231274639,-0.9539531318440648,-0.4676412614980289,0.0
2019-07-24,1.0,-0.0,-0.3113669300812119,-0.015039238741078997,-0.9488119001394548,-0.45921631894123766,0.0
2019-07-25,1.0,-0.0,-0.3021285897751182,-0.01907260157936443,-0.9579746973795666,-0.45328852091701505,0.0
2019-07-26,1.0,-0.0,-0.2962062655340999,-0.01982902247835468,-0.9614890885750963,-0.4537186245322699,0.0
2019-07-29,1.0,-0.0,-0.28028211366556405,-0.02159591044531314,-0.9603072633334244,-0.47147426259533637,0.0
2019-07-30,1.0,-0.0,-0.2775107858664191,-0.024165801976953744,-0.9556550707225165,-0.4732674348752116,0.0
2019-07-31,1.0,-0.0,-0.27515714676141023,-0.025061492210986608,-0.9563815250068324,-0.47638699098114234,0.0
2019-08-01,1.0,-0.0,-0.29029791649599956,-0.018950875180907132,-0.9554354059146392,-0.4660167663362552,0.0
2019-08-02,1.0,-0.0,-0.2807807807807808,-0.03191373191373192,-0.9546546546546546,-0.46265356265356267,0.0
2019-08-05,1.0,-0.0,-0.2691689305316849,-0.012917891001829572,-1.0103675777568333,-0.4796252148361701,0.0
2019-08-06,1.0,-0.0,-0.2706439601358011,-0.01656445077209506,-0.9713339174241593,-0.4793560398641989,0.0
2019-08-07,1.0,-0.0,-0.28034855769230765,-0.00666520979020979,-0.9630681818181818,-0.4815340909090909,0.0
2019-08-08,1.0,-0.0,-0.28367497338755904,-0.010372028277424462,-0.9593853208505064,-0.47604880312252645,0.0
2019-08-09,1.0,-0.0,-0.2708106933275375,-0.005623777439687024,-0.9488698109106716,-0.4914964138230819,0.0
2019-08-12,1.0,-0.0,-0.2674519596135056,-0.014384974487026383,-0.9533166865704049,-0.47896536749538593,0.0
2019-08-13,1.0,-0.0,-0.25737709368298184,-0.01107582050655591,-0.9618861470803811,-0.4843228275918235,0.0
