Date,IWF,IWM,MTUM,RRR,SDY,SPY,USMV,VLUE,XLB,XLC,XLE,XLF,XLI,XLK,XLP,XLRE,XLU,XLV,XLY
2019-05-16,-0.0,-0.6320816594244486,-0.0,1.0,-0.019226039189964746,-0.0,-0.3568500450930557,-0.5787898663605805,-0.002500614905304583,-0.16799212921210135,-0.0,-0.5060670656718865,-0.0,-0.0,-0.14253504960236124,-0.10687054193654177,-0.578297942116914,-0.0,-0.008075756333524637
2019-05-17,-0.0,-0.6230835628262568,-0.0,1.0,-0.027292531546713798,-0.0,-0.33564881417238684,-0.6144107854823462,-0.0,-0.15952155863372927,-0.0,-0.49817090714784823,-0.0,-0.0,-0.15298614821817585,-0.11808952279173003,-0.5714168276542398,-0.0,-0.009741460808089112
2019-05-20,-0.0,-0.5820177602368032,-0.0,1.0,-0.0,-0.0,-0.29386614043742804,-0.6208271665844434,-0.0,-0.13554514060187467,-0.0,-0.5434139121854957,-0.0,-0.0,-0.2199473770761388,-0.1040536096036836,-0.6110425916790002,-0.0,-0.000452228251932248
2019-05-21,-0.0,-0.5550807412581665,-0.0,1.0,-0.0,-0.0,-0.2973661503061183,-0.6328635411102436,-0.0,-0.15244278259440358,-0.0,-0.5556970867403542,-0.0,-0.0,-0.1940666474914739,-0.11106545589020832,-0.6103874758598019,-0.0,-0.0
2019-05-22,-0.0,-0.5529986341624933,-0.0,1.0,-0.0019452837217002607,-0.0,-0.31405984851620383,-0.6446339141591821,-0.0,-0.15429824924465046,-0.0,-0.5643806133852076,-0.0,-0.0,-0.16245188526964943,-0.12230454037498448,-0.6217871776830429,-0.0,-0.0
2019-05-23,-0.0,-0.546249119754774,-0.0,1.0,-0.0,-0.0,-0.31183463816743295,-0.6519199701752205,-0.0,-0.1547574665506814,-0.0,-0.5657594962926142,-0.0,-0.0,-0.16536183256700218,-0.12344144815873409,-0.6229650801540947,-0.0,-0.0
2019-05-24,-0.0,-0.4648570841044623,-0.0,1.0,-0.0014805675508945096,-0.0,-0.21003495784495166,-0.6707382274316266,-0.0,-0.1453835081225581,-0.0,-0.5797655768044417,-0.0,-0.0,-0.20526424018095826,-0.1643841250257043,-0.6707382274316266,-0.0,-0.0
2019-05-28,-0.0,-0.4399019808045742,-0.0,1.0,-0.0,-0.0,-0.19705942413722688,-0.7010414539513987,-0.0,-0.13547069634470082,-0.0,-0.5934245456401879,-0.0,-0.0,-0.18599142332040022,-0.16079232182969164,-0.6704512967122728,-0.0,-0.0
2019-05-29,-0.0,-0.4511842158900983,-0.0,1.0,-0.0,-0.0,-0.16171374994904406,-0.7079613550201785,-0.0,-0.12632994985936163,-0.0,-0.5925971220088867,-0.0,-0.0,-0.17121193591781828,-0.16383351677469324,-0.6945497533732828,-0.0,-0.007133830663242428
2019-05-30,-0.0,-0.4294416243654822,-0.0,1.0,-0.0,-0.0,-0.19309644670050763,-0.7384365482233503,-0.0,-0.08458883248730965,-0.0,-0.5791269035532994,-0.0,-0.0,-0.11865989847715736,-0.14111675126903556,-0.705989847715736,-0.0,-0.07053807106598985
