Date,EL,IWF,IWM,MTUM,SPY,VLUE,VXX
2019-08-22,1.0,-0.0,-0.02506187149525391,-0.24711005294320357,-1.2097991917546445,-0.6507628207136368,0.0
2019-08-23,1.0,-0.0,-0.025636204086749406,-0.24837031465463208,-1.210856211608374,-0.6491475492039614,0.0
2019-08-26,1.0,-0.0,-0.01537983532701569,-0.24965045828802238,-1.2067422712443685,-0.635264874941743,0.0
2019-08-27,1.0,-0.0,-0.013003134407100518,-0.2501008596344226,-1.2045743723427365,-0.635695000465506,0.0
2019-08-28,1.0,-0.0,-0.005364174754271185,-0.2563951505379678,-1.2104430870360607,-0.6284766363833679,0.0
2019-08-29,1.0,-0.0,-0.0,-0.2595703790955023,-1.213043613031214,-0.6271039335420476,0.0
2019-08-30,1.0,-0.0,-0.0,-0.2619732244998918,-1.2158426862072162,-0.6140123055993568,0.0
2019-09-03,1.0,-0.0,-0.0006835907155951901,-0.2728459124382438,-1.2391635335425535,-0.5945374887362894,0.0
2019-09-04,1.0,-0.0,-0.0,-0.27799191793596517,-1.2346596207646876,-0.595834628535903,0.0
2019-09-05,1.0,-0.0,-0.0,-0.27138469175638363,-1.2415066240575845,-0.5897117681734976,0.0
2019-09-06,1.0,-0.0,-0.0,-0.280646956952004,-1.244835477486393,-0.5670460168233548,0.0
2019-09-09,1.0,-0.0,-0.0,-0.2799171074201231,-1.2441000896971945,-0.568989514707247,0.0
2019-09-10,1.0,-0.0,-0.0,-0.30831812416865156,-1.2480898320289542,-0.5369814705973335,0.0
2019-09-11,1.0,-0.0,-0.0,-0.36665735827981005,-1.2564770858543546,-0.47969220267460977,0.0
2019-09-12,1.0,-0.0,-0.0,-0.3748253485267177,-1.2585773279100816,-0.4715434532865526,0.0
2019-09-13,1.0,-0.0,-0.0,-0.3695672405770125,-1.2560881029936404,-0.4765937645416472,0.0
2019-09-16,1.0,-0.0,-0.0,-0.3745732199391644,-1.2549506487056925,-0.4743311192501086,0.0
2019-09-17,1.0,-0.0,-0.0,-0.37569489735706074,-1.2549768626354856,-0.475014752010932,0.0
2019-09-18,1.0,-0.0,-0.0,-0.36346129954031553,-1.2576407007081625,-0.48484283761958,0.0
2019-09-19,1.0,-0.0,-0.0,-0.3670992176828511,-1.2466161678877437,-0.49074878927107907,0.0
2019-09-20,1.0,-0.0,-0.0,-0.3491985203452528,-1.2400739827373612,-0.4933415536374845,0.0
2019-09-23,1.0,-0.0,-0.0,-0.35736078153409967,-1.2291596043021356,-0.49523868223982254,0.0
2019-09-24,1.0,-0.0,-0.0,-0.3709165922596139,-1.2173404353582313,-0.4906555004772314,0.0
2019-09-25,1.0,-0.0,-0.0,-0.3718288177339902,-1.2254926108374384,-0.48152709359605916,0.0
2019-09-26,1.0,-0.0,-0.0,-0.3412352796859666,-1.2753925417075567,-0.45010426889106975,0.0
2019-09-27,1.0,-0.0,-0.0,-0.34403287095677965,-1.2864160153233033,-0.4589267509036424,0.0
2019-09-30,1.0,-0.0,-0.0,-0.3934046950674029,-1.248419039392911,-0.44297745010334083,0.0
2019-10-01,1.0,-0.0,-0.0,-0.4012286605130738,-1.2432933041089125,-0.44256475164387366,0.0
2019-10-02,1.0,-0.0,-0.0,-0.42916485832971674,-1.2447764895529791,-0.42603385206770417,0.0
2019-10-03,1.0,-0.0,-0.0,-0.42482690405539075,-1.2486708704253215,-0.41750123639960435,0.0
2019-10-04,1.0,-0.0,-0.0,-0.4359744765208772,-1.236247057365878,-0.4252570932969892,0.0
2019-10-07,1.0,-0.0,-0.0,-0.4242911474598807,-1.2427259515784919,-0.42500231903775393,0.0
2019-10-08,1.0,-0.0,-0.0,-0.41623077161162525,-1.2550063449812747,-0.4238757002692748,0.0
2019-10-09,1.0,-0.0,-0.0,-0.4153979452902587,-1.259004827330115,-0.42000866443866813,0.0
2019-10-10,1.0,-0.0,-0.0,-0.47308826296970075,-1.2017439307446207,-0.46170252807226647,0.0
2019-10-11,1.0,-0.0,-0.0,-0.5202561999116553,-1.1700952861740392,-0.4648198397172967,0.0
2019-10-14,1.0,-0.0,-0.0,-0.5425140974466198,-1.1768675156814294,-0.44861559906228227,0.0
2019-10-15,1.0,-0.0,-0.0,-0.5636386679762998,-1.1716675643991001,-0.43316117993726433,0.0
2019-10-16,1.0,-0.0,-0.0,-0.5806216763737656,-1.1677956444669537,-0.41694099772094206,0.0
2019-10-17,1.0,-0.0,-0.0,-0.5474197608558842,-1.1857457520453114,-0.41346758967904335,0.0
