Date,AFIN,IWF,IWM,MTUM,SPY,VLUE,VXX
2019-12-30,1.0,-0.0,-0.3351939038004174,-1.7660534873562104,-1.3523758675920983,-0.40003882929670437,0.0
2019-12-31,1.0,-0.0,-0.3393237744623135,-1.7648711490021312,-1.3450397209843052,-0.39483627204030225,0.0
2020-01-02,1.0,-0.0,-0.3414788184998057,-1.7718130586863583,-1.3485231247570928,-0.3962786630392538,0.0
2020-01-03,1.0,-0.0,-0.3290845886442642,-1.7526554654306683,-1.325222093472383,-0.42115681730397836,0.0
2020-01-06,1.0,-0.0,-0.34720802297843334,-1.775278710870941,-1.3247651039384643,-0.421060318387615,0.0
2020-01-07,1.0,-0.0,-0.34555203509627097,-1.7761150377772363,-1.337947843041677,-0.41486717036314896,0.0
2020-01-08,1.0,-0.0,-0.35254187625140404,-1.7746740245153099,-1.342384138301509,-0.41392782145822143,0.0
2020-01-09,1.0,-0.0,-0.3558998924626063,-1.7746602795972235,-1.3415289862156614,-0.41597419102551564,0.0
2020-01-10,1.0,-0.0,-0.36010147826511196,-1.7756257013221446,-1.3300970873786406,-0.41293847880177587,0.0
2020-01-13,1.0,-0.0,-0.3566826527152061,-1.7573996027709151,-1.318073923363852,-0.4121009543186553,0.0
2020-01-14,1.0,-0.0,-0.34951408658093647,-1.8141749288308628,-1.3529989201924022,-0.3914793364091489,0.0
2020-01-15,1.0,-0.0,-0.3553905904331153,-1.818642151319994,-1.3540140602723563,-0.38813234354259873,0.0
2020-01-16,1.0,-0.0,-0.35552394034536894,-1.8198587127158556,-1.3394328885400315,-0.39099293563579274,0.0
2020-01-17,1.0,-0.0,-0.384155167422561,-1.7500241242883334,-1.3482099778056549,-0.3424683971822831,0.0
2020-01-21,1.0,-0.0,-0.3908758773194885,-1.7425728295356213,-1.330977790597058,-0.34280357657917504,0.0
2020-01-22,1.0,-0.0,-0.3851702250432776,-1.7510098095787652,-1.3266493556453165,-0.3457876514714368,0.0
2020-01-23,1.0,-0.0,-0.3931512787169484,-1.7487838944275873,-1.3396907961277273,-0.3345855608534412,0.0
2020-01-24,1.0,-0.0,-0.39952968277583145,-1.7477084033210155,-1.3353169842107788,-0.31660027835101023,0.0
2020-01-27,1.0,-0.0,-0.38475177304964536,-1.7639927161203757,-1.3159861989649222,-0.32729538048686985,0.0
2020-01-28,1.0,-0.0,-0.41480865992706456,-1.687208604533075,-1.2453492129437291,-0.26879933527212296,0.0
2020-01-29,1.0,-0.0,-0.41872238586156113,-1.6843703976435935,-1.2318206921944035,-0.26744293078055964,0.0
2020-01-30,1.0,-0.0,-0.42480356568487804,-1.6759178422092542,-1.2478059091117955,-0.24642742268988652,0.0
2020-01-31,1.0,-0.0,-0.4573654066437572,-1.6553951890034364,-1.2261168384879726,-0.24302405498281784,0.0
2020-02-03,1.0,-0.0,-0.4430554935488191,-1.6128845037724897,-1.1892048752176436,-0.21934014911379973,0.0
2020-02-04,1.0,-0.0,-0.44602447829532443,-1.5681958263625957,-1.172756890023774,-0.2155939068415955,0.0
2020-02-05,1.0,-0.0,-0.44925898561432487,-1.5365726454865487,-1.1619800947455343,-0.1983137033334782,0.0
2020-02-06,1.0,-0.0,-0.45452568396328996,-1.544212952894611,-1.1598451568004873,-0.19094428254534385,0.0
2020-02-07,1.0,-0.0,-0.4551894993045897,-1.5396383866481222,-1.1589012517385255,-0.19258518776077888,0.0
2020-02-10,1.0,-0.0,-0.4607166123778501,-1.537372421281216,-1.1563083604777413,-0.18870792616720955,0.0
2020-02-11,1.0,-0.0,-0.48947279770928076,-1.4507748020885969,-1.1269580596260738,-0.14363314805457303,0.0
2020-02-12,1.0,-0.0,-0.486899747262005,-1.4509688289806233,-1.1337826453243471,-0.14064869418702614,0.0
2020-02-13,1.0,-0.0,-0.5088534471932689,-1.4341747247687222,-1.1303528820796183,-0.1126459876930805,0.0
2020-02-14,1.0,-0.0,-0.519671512967696,-1.4512087820002515,-1.1021075124649098,-0.11689780868982277,0.0
2020-02-18,1.0,-0.0,-0.5200753611052962,-1.4429976972995604,-1.0981369060079549,-0.12551810759891144,0.0
2020-02-19,1.0,-0.0,-0.5945178417088529,-1.4005021196032434,-1.0079022101494013,-0.1128122813516072,0.0
2020-02-20,1.0,-0.0,-0.5910006715916722,-1.4482874412357287,-1.033747481531229,-0.12441235728676964,0.0
2020-02-21,1.0,-0.0,-0.5978525291502391,-1.4470262561865614,-1.0279338981629058,-0.121424377149568,0.0
2020-02-24,1.0,-0.0,-0.6129923099800314,-1.4755491354038324,-1.0390024217189957,-0.12104346348302673,0.0
2020-02-25,1.0,-0.0,-0.6378852827107573,-1.428577260665442,-0.9062257603592571,-0.10981833027148398,0.0
2020-02-26,1.0,-0.0,-0.6204626965672171,-1.3735860954557995,-0.8798723052063216,-0.06727623852126274,0.0
2020-02-27,1.0,-0.0,-0.6237131700390487,-1.374866879659212,-0.8753204748944899,-0.07040586912791387,0.0
2020-02-28,1.0,-0.0,-0.6323125095463571,-1.282763097601955,-0.8042614938139606,-0.09920574308843745,0.0
2020-03-02,1.0,-0.0,-0.6695662214695355,-1.2969092798583581,-0.7893075709172088,-0.09314499057003195,0.0
2020-03-03,1.0,-0.0,-0.7274254208200972,-1.1472961624128235,-0.709022528937087,-0.06758681126081717,0.0
