Date,AAP,IWF,IWM,MTUM,SDY,SPY,USMV,VLUE,XLB,XLC,XLE,XLF,XLI,XLK,XLP,XLRE,XLU,XLV,XLY
2020-04-21,1.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.1807707694359248,-0.0,-0.0,-0.22490998799839979,-0.0,-0.0,-0.0,-0.0,-0.3449793305774103,-0.0,-0.09961328177090278,-0.1441258834511268,-0.6726230164021869
2020-04-22,1.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.17629413326254315,-0.0,-0.0,-0.21404300504380142,-0.0,-0.0,-0.0,-0.0,-0.34587204672152905,-0.0,-0.11332625431377755,-0.1257764799575259,-0.6793469604459783
2020-04-23,1.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.18457285630747966,-0.0,-0.0,-0.18778905959279146,-0.0,-0.0,-0.0,-0.0,-0.3680293445324544,-0.0,-0.09170166392004679,-0.14401148264313435,-0.681941417255861
2020-04-24,1.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.182311333297878,-0.0,-0.0,-0.19074083922778282,-0.0,-0.0,-0.0,-0.0,-0.365101313620167,-0.0,-0.08926767005265118,-0.1496835611338616,-0.6820188267829601
2020-04-27,1.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.18012902537854555,-0.0,-0.0,-0.19105886116442738,-0.0,-0.0,-0.0,-0.0,-0.37001492855619533,-0.0,-0.08509277031349967,-0.15285775218596717,-0.6866869268500746
2020-04-28,1.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.176859151928404,-0.0,-0.0,-0.19118900490091625,-0.0,-0.0,-0.0,-0.0,-0.372842531429789,-0.0,-0.08723098231408481,-0.1524611122949073,-0.6829852972512251
2020-04-29,1.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.18551951855994034,-0.0,-0.0,-0.16538850721627524,-0.0,-0.0,-0.0,-0.0,-0.3930340309953667,-0.0,-0.09136177238110454,-0.1287745646269372,-0.6987537945358683
2020-04-30,1.0,-0.0,-0.005514118273841235,-0.0,-0.0,-0.0,-0.18617474693660094,-0.0,-0.0,-0.18316462440063933,-0.0,-0.0,-0.0,-0.0,-0.38098028769312736,-0.0,-0.0902770378263186,-0.1271177410761854,-0.6905966968566861
2020-05-01,1.0,-0.0,-0.025123218329559074,-0.0,-0.0,-0.0,-0.18201678433462104,-0.0,-0.0,-0.1789263354202744,-0.0,-0.0,-0.0,-0.0,-0.3852138004529106,-0.0,-0.09250033302251232,-0.12012788064473158,-0.6802451045690688
2020-05-04,1.0,-0.0,-0.019112010221465074,-0.0,-0.0,-0.0,-0.18188351788756388,-0.0,-0.0,-0.18132453151618397,-0.0,-0.0,-0.0,-0.0,-0.3875106473594548,-0.0,-0.0943089863713799,-0.11704109880749575,-0.6806856899488927
2020-05-05,1.0,-0.0,-0.019488656055879922,-0.0,-0.0,-0.0,-0.18128982377562722,-0.0,-0.0,-0.18747500599856035,-0.0,-0.0,-0.0,-0.0,-0.3845210482817457,-0.0,-0.09715001732917433,-0.1146924738062865,-0.6814364552507398
2020-05-06,1.0,-0.0,-0.017775764197958583,-0.0,-0.0,-0.0,-0.17909015803640432,-0.0,-0.0,-0.1896703355275431,-0.0,-0.0,-0.0,-0.0,-0.3802201316525864,-0.0,-0.1000719558670682,-0.11787437038616315,-0.6803027476481092
2020-05-07,1.0,-0.0,-0.030135188344927157,-0.0,-0.0,-0.0,-0.1587347420921381,-0.0,-0.0,-0.17918361989762435,-0.0,-0.0,-0.0,-0.0,-0.3591284945530909,-0.0,-0.10660191626197664,-0.12117075731723323,-0.6700616878855492
2020-05-08,1.0,-0.0,-0.033846638986703106,-0.0,-0.0,-0.0,-0.14305986230094078,-0.0,-0.0,-0.16384611341777475,-0.0,-0.0,-0.0,-0.0,-0.37420507699584804,-0.0,-0.10012088085352394,-0.14192988910495613,-0.670862458611447
