Date,CDNS,IWF,IWM,MTUM,SDY,SPY,USMV,VLUE,XLB,XLC,XLE,XLF,XLI,XLK,XLP,XLRE,XLU,XLV,XLY
2019-06-05,1.0,-0.008098496847264143,-0.04213609060753668,-0.0,-0.0,-0.0,-0.4345994083017064,-0.0,-0.17434181035770854,-0.2661446971281714,-0.0,-0.15754714161910172,-0.0,-0.3456952454950244,-0.0,-0.21193557063024834,-0.24423990676269314,-0.10360696889101396,-0.0
2019-06-06,1.0,-0.0,-0.04823074635741897,-0.0,-0.0,-0.0,-0.42652393696104673,-0.0,-0.1752899197145406,-0.2719298245614035,-0.0,-0.16613143027059174,-0.0,-0.34020220041629495,-0.0,-0.20770145703241152,-0.23425512934879575,-0.10327088908712459,-0.0
2019-06-07,1.0,-0.0,-0.06624192443954866,-0.0,-0.0,-0.0,-0.4187085057608145,-0.0,-0.15502098901426062,-0.2649081544553276,-0.0,-0.18139867218434605,-0.0,-0.33225162999791596,-0.0,-0.2387388728452767,-0.22802107832921492,-0.09184554467236297,-0.0
2019-06-10,1.0,-0.0,-0.049017857142857134,-0.0,-0.0,-0.0,-0.41738095238095235,-0.0,-0.14434523809523808,-0.25982142857142854,-0.0,-0.18967261904761903,-0.0,-0.3441369047619047,-0.0,-0.2443452380952381,-0.23363095238095236,-0.09383928571428572,-0.0
2019-06-11,1.0,-0.024633045349914805,-0.048488834414516756,-0.0,-0.0,-0.0,-0.40055603718872385,-0.0,-0.1257361513856088,-0.234342770021823,-0.0,-0.21102508146243762,-0.0,-0.3573585244088368,-0.0,-0.24534393590625098,-0.23069564437535503,-0.11123733221727304,-0.0
2019-06-12,1.0,-0.028674168449114974,-0.047459623670913546,-0.0,-0.0,-0.0,-0.38941070708949443,-0.0,-0.11937753805139652,-0.23298924331194398,-0.0,-0.21401779348398897,-0.0,-0.34204408072165904,-0.0,-0.3184537648408196,-0.2711181375740104,-0.09656219969620881,-0.03983384481850027
2019-06-13,1.0,-0.007351331060155786,-0.07939437544968249,-0.0,-0.0,-0.0,-0.4356054681390184,-0.0,-0.11890386961554103,-0.23571182782244188,-0.0,-0.1970469546720055,-0.0,-0.3190790502705915,-0.0,-0.27124847498983323,-0.3070979447555291,-0.12394031344824351,-0.03284637282197266
2019-06-14,1.0,-0.016444642743323346,-0.03473771432213653,-0.0,-0.0,-0.0,-0.48320479316718723,-0.0,-0.10759130601058066,-0.22005863981133278,-0.0,-0.2313085601376761,-0.0,-0.32707629549365796,-0.0,-0.2927210147236918,-0.30601058066161,-0.1454522276754414,-0.02237236280196316
2019-06-17,1.0,-0.01991661321359846,-0.05497113534316869,-0.0,-0.0,-0.0,-0.49211032713277736,-0.0,-0.10724823604874918,-0.2099101988454137,-0.0,-0.20025657472738934,-0.0,-0.3333226427196921,-0.045766516998075685,-0.3010904425914047,-0.26988454137267476,-0.14422706863373957,-0.028447722899294415
2019-06-18,1.0,-0.03239248624540157,-0.06257121463684605,-0.0,-0.0,-0.0,-0.5108571800631573,-0.0,-0.07904417749129146,-0.21987824331803238,-0.0,-0.22616140899176354,-0.0,-0.34202558843637076,-0.0518605332552007,-0.31673014942865513,-0.26923202135625224,-0.11482241104274507,-0.02998339681609532
2019-06-19,1.0,-0.0,-0.0,-0.0,-0.13595296142263016,-0.0,-0.5372866771834217,-0.052631578947368425,-0.04804244944787036,-0.21335866915244514,-0.0,-0.2598594579090779,-0.0,-0.39570486160906354,-0.03814713896457766,-0.41882977197762794,-0.42890434533199484,-0.056539509536784736,-0.0
2019-06-20,1.0,-0.0,-0.0,-0.0,-0.07735219013946179,-0.01154979375368297,-0.7978393242977804,-0.0,-0.0,-0.2493026910233746,-0.0,-0.34468670202317814,-0.0,-0.394814378314673,-0.0,-0.5249263406010607,-0.3984678845020625,-0.04293851895501866,-0.08658416813985464
2019-06-21,1.0,-0.0,-0.0,-0.0,-0.07677173100381693,-0.0,-0.8094282453862196,-0.0,-0.0,-0.2526266084287569,-0.0,-0.35253610356903947,-0.0,-0.38755754928579855,-0.0,-0.5214260417896351,-0.3988116318419706,-0.048282375162318494,-0.08755361429189784
2019-06-24,1.0,-0.0,-0.0,-0.0,-0.06999128574823735,-0.0,-0.8339935039214131,-0.0,-0.0,-0.24352372653093557,-0.0,-0.35863107026855734,-0.0,-0.38786342390873796,-0.0,-0.547928384694605,-0.3894874435554147,-0.03073754258100293,-0.09882753703556998
2019-06-25,1.0,-0.0,-0.0,-0.038342830009496676,-0.07150205761316872,-0.0,-0.8439379550490661,-0.0,-0.0,-0.22661443494776828,-0.0,-0.35113960113960113,-0.0,-0.3730215257993036,-0.0,-0.5291627097182652,-0.37230927508705286,-0.04388255777144666,-0.10707502374169041
2019-06-26,1.0,-0.0,-0.0,-0.023860825153619026,-0.09456547761551352,-0.0,-0.8624610964807278,-0.0,-0.0,-0.19499640890591333,-0.0,-0.33209640092570425,-0.0,-0.39390312026175084,-0.0,-0.5657569228313781,-0.3740323996488708,-0.07680951240922512,-0.07162237650626446
2019-06-27,1.0,-0.0,-0.0,-0.06762445448576836,-0.08110300081103002,-0.0,-0.7825667168732863,-0.0,-0.0,-0.14216197427876262,-0.0,-0.2915845981539412,-0.0,-0.5191750666203221,-0.0,-0.4985903526049511,-0.3397057119684857,-0.046962499517244044,-0.09253466187772756
2019-06-28,1.0,-0.0,-0.0,-0.1615146520882743,-0.0,-0.0,-0.8570969168308076,-0.003014832978253005,-0.0300679342364433,-0.20078787635165013,-0.0,-0.32540097278610763,-0.0,-0.5479358443542227,-0.0,-0.42798568959279654,-0.38758692768420633,-0.031434658519918,-0.046950998914660126
2019-07-01,1.0,-0.0,-0.0,-0.1982205835203591,-0.0,-0.0,-0.8369669765950626,-0.01815485732606605,-0.016151009939083038,-0.18134818852196216,-0.0,-0.2927220262904777,-0.0,-0.5234450144277012,-0.0,-0.4412872715613979,-0.3614539916639949,-0.017353318371272842,-0.12059153574863739
2019-07-02,1.0,-0.0,-0.0,-0.32693880890052357,-0.0,-0.0,-0.7675474476439791,-0.014275196335078535,-0.045402486910994765,-0.20860602094240835,-0.0,-0.27732329842931935,-0.0,-0.48543848167539266,-0.0,-0.46596858638743455,-0.3687009162303665,-0.0,-0.13019469895287958
2019-07-03,1.0,-0.0,-0.0,-0.33467397928092624,-0.019337802153158643,-0.0,-0.7482429412959578,-0.00808450132033313,-0.04013812715823684,-0.19114361161893154,-0.02132845825716027,-0.2741011578305911,-0.0,-0.49222019094048347,-0.0,-0.4399349989843591,-0.360674385537274,-0.0,-0.13268332317692463
2019-07-05,1.0,-0.0,-0.0,-0.28385922330097085,-0.029126213592233007,-0.0,-0.7267799352750809,-0.01933656957928803,-0.06581715210355987,-0.20861650485436892,-0.021197411003236244,-0.258373786407767,-0.0,-0.5244741100323624,-0.0,-0.43329288025889967,-0.38867313915857604,-0.0,-0.08576051779935275
