Date,APEI,IWF,IWM,MTUM,SPY,VLUE,VXX
2020-01-14,1.0,-0.2197669461418218,-0.7898252096063663,-2.3015489555208184,-1.8500781583060963,-0.9440812846383401,0.0
2020-01-15,1.0,-0.2340076934036187,-0.7959110984470722,-2.30388944294059,-1.84755663199886,-0.9420857672033053,0.0
2020-01-16,1.0,-0.23346857427574919,-0.7896647448216955,-2.2944693572496266,-1.8474624528436188,-0.9528792084845895,0.0
2020-01-17,1.0,-0.24304372515616127,-0.7852782509937536,-2.277612152186258,-1.8467490062464509,-0.9456274843838728,0.0
2020-01-21,1.0,-0.24714397218477258,-0.7876960193003618,-2.2708436812602,-1.84687433477613,-0.9431632725466544,0.0
2020-01-22,1.0,-0.24641589779985806,-0.7848828956706884,-2.276011355571327,-1.8474804826117814,-0.9423704755145494,0.0
2020-01-23,1.0,-0.2733812949640288,-0.7749839732174657,-2.2503739582591353,-1.8611724481800702,-0.9631027850986538,0.0
2020-01-24,1.0,-0.2718335945291352,-0.7751816498076649,-2.249180794985041,-1.8616612052999004,-0.9656646245903976,0.0
2020-01-27,1.0,-0.26764515432764946,-0.7845168717173897,-2.2772861356932155,-1.898553852795165,-0.9667601985754369,0.0
2020-01-28,1.0,-0.20780711825487944,-0.8293628013777267,-2.3300803673938,-1.8956659012629162,-0.912743972445465,0.0
2020-01-29,1.0,-0.17700128884433622,-0.8401116998424746,-2.3464127165974507,-1.8920950880710294,-0.9045539166547328,0.0
2020-01-30,1.0,-0.17073345772929524,-0.8338596239414383,-2.3564661977895796,-1.895148557485288,-0.9204822735754271,0.0
2020-01-31,1.0,-0.14693140794223825,-0.859783393501805,-2.3778339350180504,-1.907220216606498,-0.9284476534296029,0.0
2020-02-03,1.0,-0.11405873173499788,-0.8352248545893034,-2.348489147396794,-1.8816144133919706,-0.9138884948219607,0.0
2020-02-04,1.0,-0.10044469541893132,-0.8174631185148585,-2.337968518387803,-1.8780969859532717,-0.9247547116538434,0.0
2020-02-05,1.0,-0.03975513650436251,-0.8298620883760203,-2.358781311567689,-1.9006473402758235,-0.9071911061075147,0.0
2020-02-06,1.0,-0.06511954992967652,-0.830309423347398,-2.379465541490858,-1.8835443037974686,-0.8739803094233475,0.0
2020-02-07,1.0,-0.06497611688676595,-0.8344338297274516,-2.3703989884799106,-1.8796712559707784,-0.8750351222253443,0.0
2020-02-10,1.0,-0.06761964823768482,-0.8175320580197603,-2.3685796370261367,-1.8799663653563168,-0.8735197253170767,0.0
2020-02-11,1.0,-0.04475730195419205,-0.8106044687259227,-2.365202773691952,-1.879456468445752,-0.9042515934720178,0.0
2020-02-12,1.0,-0.04231578947368421,-0.8152280701754386,-2.3677894736842107,-1.8783157894736844,-0.9138947368421054,0.0
2020-02-13,1.0,-0.04412901412409529,-0.8161056847726793,-2.369475089593142,-1.882018129435739,-0.9151851591595812,0.0
2020-02-14,1.0,-0.046206945129252656,-0.8220046488694793,-2.3792350496583783,-1.8709586532365994,-0.9253363386630976,0.0
2020-02-18,1.0,-0.04678362573099415,-0.824138659902769,-2.37955330092299,-1.869090396674417,-0.9261607834848166,0.0
2020-02-19,1.0,-0.032219486457966934,-0.8835736897643334,-2.366725290186423,-1.829827646851917,-0.9224059092507914,0.0
2020-02-20,1.0,-0.05637479714950964,-0.8837931277781699,-2.358780780357017,-1.8315811754744937,-0.9251393494672969,0.0
2020-02-21,1.0,-0.03608247422680413,-0.9016381866967943,-2.3668267193899166,-1.8309560796497668,-0.9257167066798475,0.0
2020-02-24,1.0,-0.002695226611816441,-0.9279381516419604,-2.389460245407476,-1.847365061351869,-0.925242925030144,0.0
2020-02-25,1.0,-0.0,-0.96960610603789,-2.347621643723593,-1.666757530325746,-0.8307210031347961,0.0
2020-02-26,1.0,-0.0,-0.9187576995396485,-2.23484406406017,-1.592167541982753,-0.7380535563768398,0.0
2020-02-27,1.0,-0.0,-0.9140584583548887,-2.2276254526642525,-1.5902095188825658,-0.7347387480600104,0.0
2020-02-28,1.0,-0.0,-1.0350494208962464,-2.0095203444302956,-1.3499484567339761,-0.6694560669456067,0.0
2020-03-02,1.0,-0.0,-1.000120838620023,-1.985499365597245,-1.3792520089420581,-0.6769983686786297,0.0
2020-03-03,1.0,-0.0,-1.1047301120289692,-1.7073667534231072,-1.2270566934480027,-0.6188751838859341,0.0
2020-03-04,1.0,-0.0,-1.1775706151613263,-1.7430501283912025,-1.1261024896728815,-0.5355029585798817,0.0
2020-03-05,1.0,-0.0,-1.2632942171476902,-1.5407019769531665,-0.9971455756422456,-0.484829263135638,0.0
