Date,IWF,IWM,MTUM,SDY,SPY,USMV,VLUE,XLB,XLC,XLE,XLF,XLI,XLK,XLP,XLRE,XLU,XLV,XLY,XYL
2019-08-16,-0.0,-0.0,-0.0,-0.0916318386072966,-0.0,-0.0,-0.0,-0.17870722433460073,-0.08987210508123056,-0.2922414605788266,-0.08471859975489426,-0.603651447066587,-0.0,-0.19391634980988592,-0.06866103132954153,-0.4918455205354617,-0.0,-0.04707287182226691,1.0
2019-08-19,-0.0,-0.0,-0.0,-0.07998501451718648,-0.0,-0.0,-0.0,-0.18207361618432144,-0.08529237301364304,-0.2925603321782024,-0.08473041740813587,-0.5923012082045519,-0.0,-0.18507071274702633,-0.07342886578626956,-0.4898379694670788,-0.0,-0.05666385688863913,1.0
2019-08-20,-0.0,-0.0,-0.0,-0.055464674835643074,-0.0,-0.0,-0.0,-0.2075681348189759,-0.08561992654094262,-0.2600388900892003,-0.09055835056637551,-0.5920861754992438,-0.0,-0.1833389919441958,-0.07367511342942683,-0.4786876138152412,-0.0,-0.059508009506466245,1.0
2019-08-21,-0.0,-0.0,-0.0,-0.05375250423794113,-0.0,-0.0,-0.0,-0.1917398674680228,-0.08663892741562644,-0.25680382185236555,-0.08734781938665434,-0.6043766373863461,-0.0,-0.1866543381106488,-0.06848512867930344,-0.4842040376020958,-0.0,-0.062166743720141776,1.0
2019-08-22,-0.0,-0.0,-0.0,-0.027753074304639826,-0.0,-0.0,-0.0,-0.20399276273421446,-0.10684166947775155,-0.2500843325462296,-0.10061639424698703,-0.6201662117820234,-0.0,-0.21714863994602718,-0.07908859517311172,-0.46097703088104514,-0.0,-0.0,1.0
2019-08-23,-0.0,-0.0,-0.0,-0.026633119572888223,-0.0,-0.0,-0.0,-0.21739130434782608,-0.11257709183516923,-0.25206345310054923,-0.09027032002700133,-0.6183915804976834,-0.0,-0.2090454419931883,-0.07376269522260746,-0.4682581080666442,-0.0,-0.0,1.0
2019-08-26,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.2233730467580674,-0.09067233431120157,-0.23061725438543973,-0.1022870143088068,-0.6147398670897443,-0.0,-0.2064000478955876,-0.07893791534454889,-0.4464168113512543,-0.0,-0.0,1.0
2019-08-27,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.22551293487957183,-0.07520071364852811,-0.2383586083853702,-0.10124888492417485,-0.6195658638120726,-0.0,-0.19271483794231345,-0.08899791852512637,-0.43193577163247104,-0.0,-0.0,1.0
2019-08-28,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.239213934792318,-0.08506773857376806,-0.23477743040047644,-0.09560815840404943,-0.6127140092303112,-0.0,-0.1890427274080691,-0.08036325740658032,-0.44073246985261283,-0.0,-0.0,1.0
2019-08-29,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.23936534397047002,-0.08582145089750841,-0.2356740987705772,-0.09525794064239573,-0.6114666746048284,-0.0,-0.18691394040425088,-0.0804334236299229,-0.441907540261364,-0.0,-0.0,1.0
2019-08-30,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.23609631996213468,-0.08090758490119512,-0.23124482309785824,-0.09578748077150633,-0.6098390722991361,-0.0,-0.19562773636256062,-0.07552360667376642,-0.4331735889243877,-0.0,-0.0,1.0
2019-09-03,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.24108729124718703,-0.08240554305341703,-0.23534288759919458,-0.0993130403884875,-0.5968257728295628,-0.0,-0.19228947056733386,-0.07802321449721662,-0.43574558806111574,-0.0,-0.0,1.0
2019-09-04,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.24579303818058146,-0.10220920947564546,-0.21536095584538492,-0.09830538550261733,-0.6398426640641174,-0.0,-0.18989737674858784,-0.050424392984946616,-0.4156093810073049,-0.0,-0.0,1.0
2019-09-05,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.23311258278145697,-0.08568064753495218,-0.2157468727005151,-0.11738042678440029,-0.6352023546725534,-0.0,-0.18495952906548932,-0.05333333333333334,-0.4178955114054452,-0.0,-0.0,1.0
2019-09-06,-0.0,-0.0,-0.0,-0.0009779806182022939,-0.0,-0.014699345049343567,-0.0,-0.1894318821681534,-0.1009987256616187,-0.21530391488605044,-0.14118483833684023,-0.6871054737278843,-0.0,-0.1490086832824586,-0.04018611267522152,-0.4247103102865779,-0.0,-0.0,1.0
2019-09-09,-0.0,-0.0,-0.0,-0.0,-0.0,-0.02163582160040143,-0.0,-0.21148794238318724,-0.1219634581894389,-0.20224918090852742,-0.12352784911006819,-0.6683491248265888,-0.0,-0.14551787242834793,-0.043832462587443555,-0.4131467870952508,-0.0,-0.0,1.0
2019-09-10,-0.0,-0.0,-0.0,-0.0,-0.0,-0.11012279125486672,-0.0,-0.23357292602575624,-0.1202156334231806,-0.17693920335429772,-0.09260257562144356,-0.6798742138364781,-0.0,-0.11895777178796046,-0.028571428571428574,-0.434052111410602,-0.0,-0.0,1.0
2019-09-11,-0.0,-0.0,-0.0,-0.0,-0.0,-0.10142236861805658,-0.0,-0.23503518490792033,-0.11864051504716275,-0.17487647851474772,-0.09824824075460398,-0.6836053301392423,-0.0,-0.11870040425213355,-0.022937565503817935,-0.4409642162000299,-0.0,-0.0,1.0
2019-09-12,-0.0,-0.0,-0.0,-0.0,-0.0,-0.11408730158730158,-0.0,-0.23563011063011066,-0.12157287157287157,-0.17980399230399233,-0.08246151996151996,-0.6859066859066859,-0.0,-0.11967893217893218,-0.031325156325156325,-0.43581649831649827,-0.0,-0.0,1.0
