Date,IWF,IWM,MTUM,SDY,SPY,TFC,USMV,VLUE,XLB,XLC,XLE,XLF,XLI,XLK,XLP,XLRE,XLU,XLV,XLY
2019-06-19,-0.0,-0.0,-0.0,-0.24524515529996704,-0.0,1.0,-0.0,-0.0,-0.0,-0.0,-0.0,-1.0909935004642526,-0.0,-0.0,-0.13097912361098632,-0.1255878036361458,-0.4023721807889298,-0.0,-0.0
2019-06-20,-0.0,-0.0,-0.0,-0.17675900190499985,-0.0,1.0,-0.0,-0.0,-0.0,-0.0,-0.00996221229817932,-1.2409668654945192,-0.0,-0.0,-0.10202679491583648,-0.20898785172230722,-0.38421660785109774,-0.0,-0.0
2019-06-21,-0.0,-0.0,-0.0,-0.18217102792037063,-0.0,1.0,-0.0,-0.0,-0.0,-0.0,-0.0,-1.2589520470764994,-0.0,-0.0,-0.09628145736822337,-0.19534869162388882,-0.39730186553148866,-0.0,-0.0
2019-06-24,-0.0,-0.0,-0.0,-0.18633637385980256,-0.0,1.0,-0.0,-0.0,-0.0,-0.0,-0.0,-1.25693489941272,-0.0,-0.0,-0.09202798950393602,-0.18405597900787204,-0.404473322504061,-0.0,-0.0
2019-06-25,-0.0,-0.0,-0.0,-0.19458851465350246,-0.0,1.0,-0.0,-0.0,-0.0,-0.0,-0.0,-1.2530775479597576,-0.0,-0.0,-0.09604449165781416,-0.1762482034618509,-0.4044554146097607,-0.0,-0.0
2019-06-26,-0.0,-0.0,-0.0,-0.22189173111243307,-0.0,1.0,-0.0,-0.0,-0.0,-0.0,-0.0,-1.201415197720655,-0.0,-0.0,-0.07642693885218699,-0.21562979429537554,-0.41563605623219263,-0.0,-0.0
2019-06-27,-0.0,-0.0,-0.0,-0.25575917031235657,-0.0,1.0,-0.0390369259950439,-0.0,-0.0,-0.0,-0.0,-1.2162327530822652,-0.0,-0.0,-0.026738458714473643,-0.13834246030532016,-0.38324104384005875,-0.0,-0.0
2019-06-28,-0.0,-0.0,-0.0,-0.2004545741524086,-0.0,1.0,-0.08968369215228235,-0.0,-0.0,-0.0,-0.0,-1.2995769934970642,-0.0,-0.0,-0.04501546814824168,-0.09940652818991097,-0.42262769114211757,-0.0,-0.0
2019-07-01,-0.0,-0.0,-0.0,-0.1888032709545526,-0.0,1.0,-0.07576662997326623,-0.0,-0.0,-0.0,-0.0,-1.3041358704198773,-0.0,-0.0,-0.05381349268752948,-0.08356659852178015,-0.43909419720081777,-0.0,-0.0
2019-07-02,-0.0,-0.0,-0.0,-0.2310028472002531,-0.0,1.0,-0.06077190762416957,-0.0,-0.0,-0.0,-0.0,-1.2836760518823158,-0.0,-0.0,-0.04682062638405568,-0.0957608351787409,-0.4454919329326163,-0.0,-0.0
