Date,IWF,IWM,KFRC,MTUM,SPY,VLUE,VXX
2019-09-12,-0.0,-0.948370592168377,1.0,-0.046658333091078225,-0.6175179511032297,-0.2944853048053722,0.0
2019-09-13,-0.0,-0.9478442887461116,1.0,-0.044422478704538186,-0.6176701456522371,-0.2972642963049103,0.0
2019-09-16,-0.0,-0.9520039584364176,1.0,-0.03664464301306866,-0.6224641266699654,-0.2995022848327852,0.0
2019-09-17,-0.0,-0.938509443296569,1.0,-0.038704420452230597,-0.6281756540465036,-0.30468818205628145,0.0
2019-09-18,-0.0,-0.9163060839262378,1.0,-0.03458690286046174,-0.6341803397705823,-0.3189197037897488,0.0
2019-09-19,-0.0,-0.9086404728789986,1.0,-0.030569077422345853,-0.6469054242002782,-0.3114568845618915,0.0
2019-09-20,-0.0,-0.9193342611922988,1.0,-0.04659591742055207,-0.6300162375318952,-0.3036128508466713,0.0
2019-09-23,-0.0,-0.9195013305565197,1.0,-0.041015850977669785,-0.6303656137915076,-0.3016603031354853,0.0
2019-09-24,-0.0,-0.9157409287350987,1.0,-0.03512486585259738,-0.6411520723960901,-0.3084665139078226,0.0
2019-09-25,-0.0,-0.9055953174350208,1.0,-0.03477152212338096,-0.647764480890151,-0.3094955231665266,0.0
2019-09-26,-0.0,-0.9144443139097744,1.0,-0.062353148496240594,-0.6705533364661654,-0.28967927631578944,0.0
2019-09-27,-0.0,-0.8345328110291216,1.0,-0.10105979168564574,-0.756915975828247,-0.34411344933345483,0.0
2019-09-30,-0.0,-0.7874664388577007,1.0,-0.12643397608005857,-0.768367097876495,-0.3687454234805955,0.0
2019-10-01,-0.0,-0.7703977290070511,1.0,-0.1416012942217881,-0.7642013369555264,-0.37617899331522237,0.0
2019-10-02,-0.0,-0.7814721745525864,1.0,-0.15343834273106155,-0.763575631282177,-0.3659904388330473,0.0
2019-10-03,-0.0,-0.8481116834821837,1.0,-0.14374980949187674,-0.7457859603133479,-0.3104825189746091,0.0
2019-10-04,-0.0,-0.8591734425628171,1.0,-0.1526257871247784,-0.7316745124411567,-0.3133520816775693,0.0
2019-10-07,-0.0,-0.8526141688872554,1.0,-0.14928481729915158,-0.7454133357836381,-0.31556862384759105,0.0
2019-10-08,-0.0,-0.8501314100605096,1.0,-0.12593973473504064,-0.7658456084591406,-0.31413116557667625,0.0
2019-10-09,-0.0,-0.8520208010218044,1.0,-0.11197275187787002,-0.7714320469543533,-0.3056594592950765,0.0
2019-10-10,-0.0,-0.8761840116009997,1.0,-0.14655518188269415,-0.7398414118663417,-0.32276079108944494,0.0
2019-10-11,-0.0,-0.8836208231395745,1.0,-0.1701402867672107,-0.7222755566566536,-0.32080146170759655,0.0
2019-10-14,-0.0,-0.8590437107504819,1.0,-0.19806628116644906,-0.7475595349126407,-0.304203195921159,0.0
2019-10-15,-0.0,-0.8638613090976999,1.0,-0.21152230072520153,-0.7444053658688412,-0.292695072987021,0.0
2019-10-16,-0.0,-0.8680719890397309,1.0,-0.22228795615892388,-0.7400361190683771,-0.28334786399302525,0.0
2019-10-17,-0.0,-0.7656171072571141,1.0,-0.3399562215861256,-0.45044059044732565,-0.25029466240107767,0.0
