Date,IWF,IWM,MTUM,RF,SPY,VLUE,VXX
2019-06-18,-0.0,-0.4041223705044108,-0.0,1.0,-0.41271771092513004,-1.0106028047952953,0.0
2019-06-19,-0.0,-0.41517401655141145,-0.0,1.0,-0.4067566035596871,-1.0122151683482599,0.0
2019-06-20,-0.0,-0.4179724157543011,-0.0,1.0,-0.40901464524385045,-1.0167496089862078,0.0
2019-06-21,-0.0,-0.4215240261586579,-0.0,1.0,-0.4047199317600227,-1.0170884276371908,0.0
2019-06-24,-0.0,-0.4196441240741266,-0.0,1.0,-0.4070437324403326,-1.0112665663932796,0.0
2019-06-25,-0.0,-0.4087040399455288,-0.0,1.0,-0.4135270086246028,-1.0148093508851566,0.0
2019-06-26,-0.0,-0.40621449670529425,-0.0,1.0,-0.40871392865257894,-1.0253351511020221,0.0
2019-06-27,-0.0,-0.3997613704156132,-0.0,1.0,-0.4170051987159456,-1.0240902247095252,0.0
2019-06-28,-0.0,-0.38640358337585756,-0.0,1.0,-0.4246753983103702,-1.0238419232295743,0.0
2019-07-01,-0.0,-0.3953626634958383,-0.0,1.0,-0.4134816828039183,-1.0222524205877357,0.0
2019-07-02,-0.0,-0.39544425580079234,-0.0,1.0,-0.41058290888511606,-1.0236276174306735,0.0
2019-07-03,-0.0,-0.40058677499435785,-0.0,1.0,-0.4002764612954186,-1.020170390431054,0.0
2019-07-05,-0.0,-0.4267033337074868,-0.0,1.0,-0.3742002469412953,-1.0052755640363678,0.0
2019-07-08,-0.0,-0.4319430429420338,-0.0,1.0,-0.3624845834734835,-1.0086052248009865,0.0
2019-07-09,-0.0,-0.43077094722749076,-0.0,1.0,-0.3548198147941537,-1.0036818029677563,0.0
2019-07-10,-0.0,-0.43581439499692887,-0.0,1.0,-0.35596627394047686,-1.0001116756937851,0.0
2019-07-11,-0.0,-0.4376294140690582,-0.0,1.0,-0.35905758576305336,-1.0014830152778555,0.0
2019-07-12,-0.0,-0.42925585565392804,-0.0,1.0,-0.36459150509918187,-1.0079009301804325,0.0
2019-07-15,-0.0,-0.4631452379620827,-0.0,1.0,-0.3648285890050892,-0.9682903640735976,0.0
2019-07-16,-0.0,-0.4787653423546845,-0.0,1.0,-0.374339474934996,-0.9427684737327705,0.0
2019-07-17,-0.0,-0.4931189459285934,-0.0,1.0,-0.365686849230941,-0.9326968707255114,0.0
2019-07-18,-0.0,-0.49125791249546863,-0.0,1.0,-0.3652156939293383,-0.9320710521178996,0.0
2019-07-19,-0.0,-0.4911082617906121,-0.0,1.0,-0.36562047050953284,-0.9306500167242725,0.0
2019-07-22,-0.0,-0.4806179853900194,-0.0,1.0,-0.35808446919869014,-0.9601444204987546,0.0
2019-07-23,-0.0,-0.48295359122207915,-0.0,1.0,-0.35783463024128087,-0.9582656888540558,0.0
2019-07-24,-0.0,-0.48015282186701125,-0.0,1.0,-0.36000224738039716,-0.9690704272831979,0.0
2019-07-25,-0.0,-0.48347386172006745,-0.0,1.0,-0.35618324901630133,-0.970910623946037,0.0
2019-07-26,-0.0,-0.4844900252880023,-0.0,1.0,-0.35439730261309355,-0.970890699634729,0.0
2019-07-29,-0.0,-0.4903678251563116,-0.0,1.0,-0.36179800597082185,-0.9642595617642089,0.0
2019-07-30,-0.0,-0.49544698486087224,-0.0,1.0,-0.36457951566068053,-0.9591779199909785,0.0
2019-07-31,-0.0,-0.5163028149151012,-0.0,1.0,-0.35660292209623734,-0.9476222711118631,0.0
2019-08-01,-0.0,-0.5266969090755403,-0.0,1.0,-0.3511312727170268,-0.9397875517736891,0.0
2019-08-02,-0.0,-0.5310158910329171,-0.0,1.0,-0.3480987514188422,-0.9585698070374574,0.0
2019-08-05,-0.0,-0.5251831241837488,-0.0,1.0,-0.355033785702118,-0.9588893305320538,0.0
2019-08-06,-0.0,-0.5261785299203448,-0.0,1.0,-0.35422513252260684,-0.9543045043512771,0.0
2019-08-07,-0.0,-0.5338486367111186,-0.0,1.0,-0.3424785526204026,-0.9550100512472041,0.0
2019-08-08,-0.0,-0.5316595744680851,-0.0,1.0,-0.3434326241134752,-0.961758865248227,0.0
2019-08-09,-0.0,-0.5242293238393942,-0.0,1.0,-0.33141194088892656,-0.9699641151705235,0.0
2019-08-12,-0.0,-0.5217391304347826,-0.0,1.0,-0.3473461321287408,-0.9541784302653867,0.0
2019-08-13,-0.0,-0.5191085501228709,-0.0,1.0,-0.34505550377086686,-0.9604835748382905,0.0
2019-08-14,-0.0,-0.5293720078851027,-0.0,1.0,-0.33001971275696984,-0.9567164179104476,0.0
2019-08-15,-0.0,-0.538065670973877,-0.0,1.0,-0.3254461039324271,-0.933378083571069,0.0
2019-08-16,-0.0,-0.5401286353467561,-0.0,1.0,-0.3237136465324385,-0.9325782997762865,0.0
2019-08-19,-0.0,-0.540710864633224,-0.0,1.0,-0.3228860319861076,-0.9372881830658487,0.0
2019-08-20,-0.0,-0.5467955523272057,-0.0,1.0,-0.31689668659551884,-0.9300720791194055,0.0
2019-08-21,-0.0,-0.548232273906856,-0.0,1.0,-0.319390573987778,-0.922789295979016,0.0
2019-08-22,-0.0,-0.5489862509412388,-0.0,1.0,-0.3193239813704437,-0.9205176116239506,0.0
2019-08-23,-0.0,-0.5444118878191713,-0.0,1.0,-0.31885028603320775,-0.9273057067113157,0.0
2019-08-26,-0.0,-0.5391012668755024,-0.0,1.0,-0.3132536800377013,-0.9197737920328223,0.0
2019-08-27,-0.0,-0.5393635305205965,-0.0,1.0,-0.31274602206575375,-0.9199700615401674,0.0
2019-08-28,-0.0,-0.5289959129570309,-0.0,1.0,-0.3121340991936375,-0.9203855075665525,0.0
2019-08-29,-0.0,-0.5156616530978335,-0.0,1.0,-0.31400579550158686,-0.9300952118117841,0.0
2019-08-30,-0.0,-0.5145671246482371,-0.0,1.0,-0.31415880373006677,-0.9301991943938642,0.0
2019-09-03,-0.0,-0.5187025534851621,-0.0,1.0,-0.3114975845410628,-0.9303519668737059,0.0
2019-09-04,-0.0,-0.5262095659386231,-0.0,1.0,-0.30975946917334807,-0.9287531103124136,0.0
2019-09-05,-0.0,-0.5384297292826818,-0.0,1.0,-0.3057561890058995,-0.9126095826211611,0.0
