Date,EPRT,IWF,IWM,MTUM,SPY,VLUE,VXX
2020-06-08,1.0,-0.6090970692868033,-1.2675758089107234,-0.45023716754192783,-0.7576655937658818,-0.15060138912417415,0.0
2020-06-09,1.0,-0.6119535750593018,-1.2648254828871568,-0.45213486953575055,-0.7580057607590647,-0.14889020670958997,0.0
2020-06-10,1.0,-0.6115646546254387,-1.2642443213062051,-0.4462586185017554,-0.755763292584916,-0.15210862484666468,0.0
2020-06-11,1.0,-0.6127749576988155,-1.2658206429780035,-0.4495769881556684,-0.7533417935702199,-0.14864636209813875,0.0
2020-06-12,1.0,-0.6063896429317185,-1.2456045103361872,-0.4603466276884527,-0.7446230945917728,-0.1192733347254124,0.0
2020-06-15,1.0,-0.6097764779611448,-1.249049509087111,-0.4569876749529977,-0.7457697931898892,-0.11644035930645498,0.0
2020-06-16,1.0,-0.6061174313455848,-1.2493228320206693,-0.4485143976330375,-0.7429261991082219,-0.12030670500479226,0.0
2020-06-17,1.0,-0.6040539415633065,-1.2456089236660284,-0.4493881628236077,-0.742195954382752,-0.12095230167318738,0.0
2020-06-18,1.0,-0.6034131113423516,-1.2470759625390218,-0.44840790842872014,-0.7421436004162331,-0.1212486992715921,0.0
2020-06-19,1.0,-0.6036306103755517,-1.2474810558747607,-0.4487051378133067,-0.7419851777833292,-0.12178366225331003,0.0
2020-06-22,1.0,-0.6044216837371971,-1.248063952035973,-0.44745607461070863,-0.742526438504455,-0.1210758597718378,0.0
2020-06-23,1.0,-0.6022646850672327,-1.2454935264976479,-0.4468173681362141,-0.7430581574455685,-0.12539028350193582,0.0
2020-06-24,1.0,-0.5997918834547347,-1.241664932362123,-0.44849115504682624,-0.742726326742976,-0.12965660770031218,0.0
2020-06-25,1.0,-0.596551724137931,-1.2463232239302036,-0.44507685916078105,-0.7405068550062319,-0.1260905691732447,0.0
2020-06-26,1.0,-0.5953922789539228,-1.2464923204649232,-0.4430469074304691,-0.7398505603985056,-0.12635948526359483,0.0
2020-06-29,1.0,-0.5913025471112032,-1.2439842617519157,-0.44410851107889837,-0.7359287637191965,-0.12632014909919237,0.0
2020-06-30,1.0,-0.6049408345443221,-1.2203861324475815,-0.4599543284201785,-0.7421631720988167,-0.12447581482250362,0.0
2020-07-01,1.0,-0.6044745143616138,-1.2218578781338205,-0.45201726714261997,-0.7499584924456252,-0.12248879296031878,0.0
2020-07-02,1.0,-0.619985837464073,-1.215312200608156,-0.4645728329237306,-0.7589036531011788,-0.10671887366184862,0.0
2020-07-06,1.0,-0.6216463922679553,-1.2156307282119647,-0.46379770038326945,-0.759165139143476,-0.10569071821363106,0.0
2020-07-07,1.0,-0.6173533083645443,-1.2191427382438618,-0.4591344153141906,-0.758843112775697,-0.10690803162713275,0.0
2020-07-08,1.0,-0.6131914716761565,-1.2288766052948756,-0.4518931050247288,-0.7530027845891692,-0.10918083205186818,0.0
2020-07-09,1.0,-0.6093067742337922,-1.229633634133156,-0.44986900652888095,-0.7544808084168504,-0.11519108412691811,0.0
2020-07-10,1.0,-0.6108384628181668,-1.2324904342039595,-0.4494676426551323,-0.7543669938446182,-0.11183663283979373,0.0
2020-07-13,1.0,-0.6120625155873306,-1.2350153794995429,-0.44829162856430294,-0.7529719843711032,-0.10827999002410842,0.0
2020-07-14,1.0,-0.6058442636559854,-1.2321517516187948,-0.44122530300514695,-0.7573468371243567,-0.11414577453096464,0.0
2020-07-15,1.0,-0.608744394618834,-1.2263328350772298,-0.44398770968277695,-0.7573492775286498,-0.11571998006975585,0.0
2020-07-16,1.0,-0.60984219269103,-1.2220514950166113,-0.44493355481727576,-0.7576827242524917,-0.1183139534883721,0.0
2020-07-17,1.0,-0.6112817532790968,-1.2231031047650671,-0.4454175659970115,-0.7532790967956168,-0.11767391665283082,0.0
