Date,CAH,IWF,IWM,MTUM,SPY,VLUE,VXX
2020-03-30,1.0,-0.23830874554044934,-0.23765789219940217,-0.1830826342686337,-0.40972423102883043,-0.3418185324462444,0.0
2020-03-31,1.0,-0.25601975212066397,-0.23005842520839956,-0.18889187669592003,-0.429901972767497,-0.33969736230962916,0.0
2020-04-01,1.0,-0.26028896672504376,-0.2314409418174742,-0.16413699163261336,-0.4317717454757735,-0.34469254718816894,0.0
2020-04-02,1.0,-0.2788619061385757,-0.1887828852269442,-0.15534354823166618,-0.44748000385467857,-0.3387057916546208,0.0
2020-04-03,1.0,-0.27784872653670994,-0.20105539625551191,-0.16045396496469963,-0.4279655911905737,-0.3422809088937616,0.0
2020-04-06,1.0,-0.27995763323865,-0.18980790525251554,-0.15926050743825523,-0.4325983342159742,-0.34555389726060376,0.0
2020-04-07,1.0,-0.2705778918353769,-0.17436555460507558,-0.15038969679688244,-0.4341079745271362,-0.346782625225739,0.0
2020-04-08,1.0,-0.27722961056294393,-0.17658134324800992,-0.16249582916249583,-0.4365079365079365,-0.33049716383049715,0.0
2020-04-09,1.0,-0.27933452168746287,-0.16727272727272727,-0.1651574569221628,-0.4357219251336898,-0.3292216280451575,0.0
2020-04-13,1.0,-0.28079262497624025,-0.16322942406386617,-0.16577171640372554,-0.4357774187416841,-0.3304029652157384,0.0
2020-04-14,1.0,-0.2841367846117312,-0.17594395630491572,-0.15046307290429828,-0.4359059605794348,-0.328259320826407,0.0
2020-04-15,1.0,-0.27981520966595597,-0.17609571191660744,-0.14598436389481168,-0.43444681355129117,-0.3327647476901208,0.0
2020-04-16,1.0,-0.2891645988420182,-0.1587616684390878,-0.14961597542242705,-0.4382842963488125,-0.32740163062743705,0.0
2020-04-17,1.0,-0.28715888954518604,-0.1607796810395747,-0.14721795629060838,-0.43827525103366805,-0.32923803898405196,0.0
2020-04-20,1.0,-0.2932722939330297,-0.1519928262972839,-0.15211081482879865,-0.43651037119192015,-0.325884324043703,0.0
2020-04-21,1.0,-0.2962534526310819,-0.1564956679808305,-0.15415850232536177,-0.43395736443258814,-0.3199084019924927,0.0
2020-04-22,1.0,-0.2962254797818851,-0.15409673535868565,-0.15260958855605128,-0.4346245544460968,-0.3229941222293039,0.0
2020-04-23,1.0,-0.2918925288710818,-0.15703511666273862,-0.14876266792363893,-0.4334197501767617,-0.3257129389582842,0.0
2020-04-24,1.0,-0.28483678896707537,-0.15720976206726128,-0.1533501212021369,-0.4327975335953496,-0.3252453460732861,0.0
2020-04-27,1.0,-0.27536469815657394,-0.1544162484169051,-0.16389136451053052,-0.4263098644401707,-0.3253201369670247,0.0
2020-04-28,1.0,-0.27432942998615445,-0.15950531527937484,-0.16018585877549105,-0.4252458170042006,-0.3274118226832187,0.0
2020-04-29,1.0,-0.28043396580875446,-0.15552789780199136,-0.1625493142964494,-0.42720270524140525,-0.32256246477550254,0.0
2020-04-30,1.0,-0.28349923878674316,-0.12964047312331656,-0.17491509544443143,-0.44344771050474296,-0.3106921185150486,0.0
2020-05-01,1.0,-0.2740172624073553,-0.1412655971479501,-0.17382024580166994,-0.43922975888920157,-0.31710291772211274,0.0
2020-05-04,1.0,-0.28068038048826205,-0.13928588163628697,-0.16580760039360856,-0.4399278384330631,-0.3171828873998407,0.0
2020-05-05,1.0,-0.27887587822014054,-0.1375878220140515,-0.16199063231850117,-0.44241217798594845,-0.32105386416861825,0.0
2020-05-06,1.0,-0.27833579171641964,-0.13762262648966309,-0.15953735571632602,-0.4423918896771324,-0.32342956147128377,0.0
2020-05-07,1.0,-0.2795870109802636,-0.13756935827499825,-0.16184768103387726,-0.4403343244445485,-0.32186922014375013,0.0
2020-05-08,1.0,-0.28038039913801177,-0.13887847840344794,-0.16026421812049094,-0.44134732502576596,-0.3215122271151504,0.0
2020-05-11,1.0,-0.2802867047690434,-0.13824604141291108,-0.16021737093600674,-0.44181579687060807,-0.32179331022205565,0.0
